"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,40187617,1,40518171
2020,40183063,1,40513502
2020,40187648,1,40518200
2020,40187679,1,40518225
2020,40183092,1,40513537
2020,40183095,1,40513539
2020,40187696,1,40518242
2020,38470787,1,38550186
2020,38470791,1,38550190
2020,38467610,1,38542965
2020,38470778,1,38542950
2020,39284715,1,39505325
2020,39284725,1,39505339
2020,39281493,1,39501812
2020,39281503,1,39505349
2020,38137733,1,38219126
2020,38137746,1,38219140
2020,38137747,1,38219141
2020,38137793,1,38219180
2020,38137797,1,38219184
2020,38467462,1,38542826
2020,38467539,1,38542893
2020,38470734,1,38550134
2020,38470733,1,38550133
2020,38467595,1,38542947
2020,40124448,1,40469936
2020,40124447,1,40461359
2020,40134515,1,40461435
2020,40129559,1,40461437
2020,40129630,1,40470050
2020,40129631,1,40470052
2020,40129635,1,40461529
2020,40129692,1,40470110
2020,40134717,1,40461637
2020,40134716,1,40461636
2020,40134760,1,40461677
2020,40134768,1,40461684
2020,40134770,1,40461689
2020,40129745,1,40470166
2020,40129813,1,40470238
2020,40134900,1,40461814
2020,40129843,1,40470271
2020,40129841,1,40461823
2020,40129850,1,40470278
2020,40129849,1,40470277
2020,40129870,1,40461857
2020,40134953,1,40461867
2020,40129979,1,40470391
2020,40135067,1,40461989
2020,40129988,1,40461990
2020,40135077,1,40462001
2020,40130015,1,40462015
2020,40130032,1,40470449
2020,38467642,1,38542994
2020,38470660,1,38550061
2020,38137708,1,38219097
2020,38139747,1,38225162
2020,38137742,1,38219137
2020,38137743,1,38219138
2020,38139773,1,38225194
2020,38139782,1,38225203
2020,38137789,1,38225209
2020,38137792,1,38219179
2020,38137794,1,38219181
2020,38137795,1,38219182
2020,38137796,1,38219183
2020,38137798,1,38219185
2020,38137800,1,38219187
2020,38137803,1,38219190
2020,38137801,1,38219188
2020,38137802,1,38219189
2020,39281467,1,39501791
2020,39284741,1,39505354
2020,39284779,1,39505398
2020,41641600,1,42045347
2020,41641609,1,42045355
2020,41638122,1,42042078
2020,41641622,1,42042082
2020,41638157,1,42045404
2020,41641655,1,42045411
2020,41638182,1,42045427
2020,41638228,1,42042172
2020,41641747,1,42042222
2020,41638293,1,42045526
2020,41641790,1,42045572
2020,41638340,1,42045571
2020,41641798,1,42042272
2020,38697941,1,38787040
2020,38697940,1,38791397
2020,38700430,1,38791411
2020,38700317,1,38786950
2020,38697927,1,38787025
2020,38700498,1,38787127
2020,38699939,1,38786686
2020,38697873,1,38786960
2020,38697980,1,38787084
2020,38697988,1,38787088
2020,38697989,3,38787094
2020,38697990,1,38787095
2020,38700458,1,38787098
2020,38700460,1,38791435
2020,38700473,1,38791449
2020,38698006,1,38787110
2020,38698007,1,38787111
2020,38700477,1,38787113
2020,38698010,1,38791457
2020,38700471,1,38791448
2020,38470780,1,38550181
2020,38697834,1,38786923
2020,38697992,1,38787099
2020,38700510,1,38791487
2020,38470773,1,38550175
2020,38697361,1,38790722
2020,41641757,1,42042230
2020,41638339,1,42045570
2020,41638345,1,42045576
2020,41638366,1,42045599
2020,41641803,1,42045593
2020,41638364,1,42045596
2020,41641814,1,42045617
2020,41641813,1,42045614
2020,41638385,1,42045619
2020,41638390,1,42045624
2020,41641830,1,42042301
2020,41641839,1,42042309
2020,41641847,1,42045646
2020,41638422,1,42042327
2020,41641863,1,42042333
2020,38697920,1,38791377
2020,38700494,1,38791473
2020,38700513,1,38787135
2020,38700512,1,38791489
2020,38700521,1,38787140
2020,38700526,1,38787148
2020,38698046,1,38791504
2020,38700535,1,38791514
2020,38700537,1,38791516
2020,38698059,1,38787161
2020,38698067,1,38787167
2020,38700556,1,38787181
2020,38698083,1,38791539
2020,38700455,1,38787087
2020,38700461,1,38791436
2020,38700469,1,38791446
2020,38700482,1,38791461
2020,38698028,1,38791480
2020,38700522,1,38791496
2020,38698035,1,38791497
2020,38698049,1,38787153
2020,38700547,1,38787177
2020,38698073,1,38787175
2020,38700551,1,38791529
2020,38700414,1,38787038
2020,38697991,1,38787097
2020,38697994,1,38787101
2020,38699930,1,38786674
2020,38697601,1,38790935
2020,38700318,1,38791311
2020,38697862,1,38791312
2020,38700472,1,38791450
2020,38700396,1,38791380
2020,38697946,1,38787046
2020,38700451,1,38787079
2020,38697987,1,38787092
2020,38697993,1,38787100
2020,38697596,1,38786684
2020,38697597,1,38786685
2020,38699937,1,38786683
