"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,1,151638309
2020,5,151638309
2020,6,151638309
2020,6,151644202
2020,6,154414987
2020,6,154415029
2020,7,154410976
2020,6,154410976
2020,6,153554070
2020,8,154415232
2020,1,154414900
2020,6,156631196
2020,8,156631214
2020,9,156631285
2020,8,156631488
2020,9,156631551
2020,9,156626889
2020,6,156631686
2020,9,156626961
2020,6,156631785
2020,6,156627028
2020,9,156631820
2020,3,156631833
2020,2,156632118
2020,9,156627285
2020,2,156632154
2020,6,156627295
2020,6,156632159
2020,9,156632183
2020,6,156632193
2020,9,156627325
2020,9,156632226
2020,9,156627413
2020,6,156632324
2020,6,156632327
2020,9,156632341
2020,9,155703120
2020,9,155703109
2020,9,155698228
2020,9,155704240
2020,6,155704380
2020,6,155704481
2020,3,155704481
2020,6,155704641
2020,6,155704730
2020,3,155698713
2020,6,155711408
2020,6,154409757
2020,3,160864369
2020,6,160868713
2020,6,160868751
2020,8,160864446
2020,3,154409948
2020,3,154409958
2020,6,154415098
2020,8,154415333
2020,6,151642132
2020,6,159622543
2020,6,159619788
2020,6,159622990
2020,6,151644007
2020,6,151646524
2020,6,154409770
2020,3,151644335
2020,7,159620312
2020,8,159620032
2020,9,159620313
2020,9,159623084
2020,9,159620362
2020,9,159623219
2020,9,159623218
2020,8,151646791
2020,9,151643981
2020,3,151646621
2020,6,154415119
2020,4,151638748
2020,6,151638748
2020,9,155702672
2020,6,155697235
2020,9,151644092
2020,8,154409738
2020,8,154414897
2020,6,154415142
2020,8,154415889
2020,6,154410990
2020,8,153557168
2020,3,154415236
2020,6,154414905
2020,6,154415110
2020,3,154415264
2020,6,153557270
2020,6,153553978
2020,3,153553978
2020,6,154415211
2020,6,154415102
2020,6,154414949
2020,3,154414949
2020,14,154414844
2020,6,159619797
2020,6,159619976
2020,9,159622969
2020,9,159623185
2020,2,154409754
2020,6,154409707
2020,1,154409819
2020,9,156886965
2020,6,158395229
2020,6,158395246
2020,3,158395246
2020,6,158395256
2020,6,158400336
2020,6,158395374
2020,1,158395406
2020,3,158400388
2020,3,158395419
2020,3,158395440
2020,3,158395443
2020,6,158395451
2020,6,158400433
2020,6,158395483
2020,6,158395539
2020,9,158400573
2020,9,158395697
2020,6,158395699
2020,9,158400582
2020,9,158395780
2020,6,158395800
2020,9,158395798
2020,3,158395790
2020,6,158395879
2020,6,158400781
2020,6,158396019
2020,6,158400776
2020,9,158400787
2020,6,158396018
2020,12,158396074
2020,6,158396078
2020,8,158396127
2020,9,158401182
2020,6,158401184
2020,9,158400869
2020,6,158401228
2020,9,158401277
2020,9,158400914
2020,9,158401376
2020,1,158400973
2020,4,158401430
2020,6,158401036
2020,6,158401046
2020,6,158401603
2020,6,156626625
2020,9,156626891
2020,9,156632055
2020,9,156627378
2020,9,156632306
2020,6,156626058
2020,6,156626559
2020,6,156631932
2020,9,156627279
2020,9,156632163
2020,6,158400920
2020,8,158400981
2020,9,158401469
2020,6,158401020
2020,6,158401544
2020,6,158401627
2020,6,158401087
2020,6,158401123
2020,8,158401154
2020,6,158401163
2020,9,158401804
2020,1,158401808
2020,9,158406300
2020,9,158406306
2020,9,158406318
2020,9,158401897
2020,9,158401901
2020,6,158406331
2020,5,158406380
2020,6,158401989
2020,9,158402000
2020,9,158406428
2020,9,158402057
2020,3,156626956
2020,9,156627019
2020,9,156631910
2020,4,156632058
2020,2,156632190
2020,9,156632378
2020,6,156632383
2020,5,156632909
2020,9,156628073
2020,6,156633118
2020,6,156626977
2020,1,156631865
2020,6,156627157
2020,9,156627359
2020,9,156627374
2020,9,156632275
2020,9,156632354
2020,5,156632377
2020,6,156632906
2020,6,156631875
2020,6,156627150
2020,6,156632257
2020,9,156626957
2020,9,156632107
2020,3,156627268
2020,9,156632202
2020,6,156632273
2020,9,156626837
2020,9,156631903
2020,6,156632117
2020,6,156626512
2020,6,156626537
2020,9,156626631
2020,6,156626684
2020,9,156631783
2020,6,156631787
2020,6,156631786
2020,9,156632219
2020,9,156632943
2020,9,156632952
2020,9,156633009
2020,9,156628154
2020,9,156626167
2020,9,156631614
2020,9,156631620
2020,6,156627311
2020,6,156632375
2020,9,156633060
2020,9,156626994
2020,6,156631619
2020,9,156631766
2020,6,156627043
2020,5,156632101
2020,9,156627364
2020,9,156626628
2020,9,156631401
2020,9,156631404
2020,6,156631547
2020,9,156631570
2020,9,156627247
2020,9,156627248
2020,6,156632254
2020,2,156632301
