"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,142750213,1,
2020,142745833,1,
2020,142750215,1,
2020,142499516,6,
2020,146738133,6,
2020,142499255,1,
2020,142499517,1,
2020,142495838,1,
2020,142500568,9,
2020,142495944,9,
2020,141576012,6,
2020,142750212,9,
2020,146738613,1,
2020,146738801,6,
2020,146735682,1,
2020,146735306,16,
2020,142745820,1,
2020,146735554,1,
2020,146738780,1,
2020,146738403,1,
2020,142749931,1,
2020,146738144,6,
2020,146738406,1,
2020,142750078,1,
2020,142749874,2,
2020,142749899,1,
2020,146735298,1,
2020,146734741,1,
2020,146735534,1,
2020,146738752,1,
2020,146735625,1,
2020,142745679,1,
2020,146735488,9,
2020,146734956,1,
2020,146735100,6,
2020,146735313,1,
2020,141571282,1,
2020,146735159,6,
2020,146735552,9,
2020,146735551,9,
2020,146738514,1,
2020,144272993,2,
2020,146735628,1,
2020,141572732,10,
2020,144267667,6,
2020,144269743,6,
2020,144269221,6,
2020,144269191,6,
2020,142750264,1,
2020,144269543,1,
2020,144270381,9,
2020,145455729,8,
2020,145455730,9,
2020,144269315,1,
2020,144270032,1,
2020,144267326,1,
2020,144270490,6,
2020,144267293,1,
2020,144269530,6,
2020,145458856,2,
2020,145458855,1,
2020,144268714,1,
2020,144268711,1,
2020,144267175,1,
2020,144268715,1,
2020,144268712,1,
2020,144269861,1,
2020,145458738,9,
2020,145459338,1,
2020,145459440,1,
2020,144268776,6,
2020,145458975,1,
2020,145459415,6,
2020,144270370,9,
2020,144267201,1,
2020,144269704,1,
2020,144269892,6,
2020,144269891,6,
2020,144269839,6,
2020,144267660,9,
2020,144270479,9,
2020,145459136,6,
2020,145459403,17,
2020,142499144,1,
2020,142494936,1,
2020,145458761,9,
2020,145455751,1,
2020,144267328,1,
2020,144267330,1,
2020,144267329,1,
2020,144268729,1,
2020,144268784,9,
2020,144268785,9,
2020,144269001,1,
2020,145459374,1,
2020,145456349,6,
2020,145456348,6,
2020,146735062,1,
2020,146735609,9,
2020,142494679,1,
2020,142498643,6,
2020,142499393,1,
2020,142499194,6,
2020,146734776,6,
2020,146735168,1,
2020,142750079,9,
2020,142745829,2,
2020,142500549,1,
2020,146738778,1,
2020,142500397,6,
2020,142499687,6,
2020,142745552,1,
2020,142498903,1,
2020,146738825,6,
2020,142500584,9,
2020,142495995,9,
2020,142495860,1,
2020,142500499,1,
2020,142750124,1,
2020,142750269,1,
2020,142499481,6,
2020,142499554,1,
2020,142499554,6,
2020,148160960,1,
2020,148160971,1,
2020,148157708,6,
2020,141572450,1,
2020,148157550,1,
2020,148157723,9,
2020,148157187,6,
2020,148157506,1,
2020,148161183,6,
2020,148157758,1,
2020,148157776,1,
2020,148163310,9,
2020,148157394,1,
2020,144273217,2,
2020,144273218,2,
2020,148157387,1,
2020,141578644,9,
2020,144267167,1,
2020,144268760,1,
2020,145456088,1,
2020,145459128,1,
2020,144267208,10,
2020,148163223,2,
2020,148161261,6,
2020,141572455,1,
2020,141572525,1,
2020,145455954,1,
2020,145459230,1,
2020,144267188,1,
2020,144269546,9,
2020,141575714,1,
2020,142745653,6,
2020,134518743,9,
2020,134509097,6,
2020,134518756,6,
2020,137594792,9,
2020,134518495,2,
2020,134518494,2,
2020,134518873,1,
2020,137589453,1,
2020,134513168,1,
2020,134518415,2,
2020,137589375,2,
2020,137589379,1,
2020,137594953,10,
2020,139459923,1,
2020,139463211,1,
2020,139459907,2,
2020,140321563,1,
2020,139463228,1,
2020,139459968,1,
2020,139459660,1,
2020,139459978,1,
2020,137589347,1,
2020,139463151,1,
2020,139462997,1,
2020,139459803,1,
2020,139459802,1,
2020,141572245,1,
2020,141572560,9,
2020,141572562,9,
2020,141572572,17,
2020,141572639,6,
2020,141572820,1,
2020,141577703,1,
2020,139459888,2,
2020,142498525,6,
2020,142498557,6,
2020,142494253,1,
2020,142494357,2,
2020,142494513,6,
2020,142499000,1,
2020,142494567,1,
2020,142494712,1,
2020,142499221,1,
2020,142494755,6,
2020,142494945,9,
2020,142499542,6,
2020,142494962,6,
2020,142495014,2,
2020,142495077,1,
2020,142499744,6,
2020,142495170,1,
2020,142495760,6,
2020,142495851,1,
2020,142500569,6,
2020,142496034,9,
2020,140321529,1,
2020,148161842,1,
2020,146735497,6,
2020,142498969,1,
2020,142495992,1,
2020,142500601,1,
2020,142499313,2,
2020,142494789,2,
2020,142494790,2,
2020,146738496,1,
2020,146738748,1,
2020,146738787,6,
2020,146738676,9,
2020,142499879,6,
2020,146735633,2,
2020,142495116,6,
2020,142745604,1,
2020,146735562,2,
2020,146735563,2,
2020,142745664,1,
2020,142749972,1,
2020,142499488,6,
2020,142500429,6,
2020,142499604,1,
2020,142745567,1,
2020,142745650,1,
2020,142495066,1,
2020,142499669,1,
2020,142499671,6,
2020,142494305,6,
2020,142498891,6,
2020,142495977,6,
2020,144273348,1,
2020,144267873,1,
2020,144267230,1,
2020,144267774,1,
2020,141577277,6,
2020,144269669,1,
2020,144273189,1,
2020,144268666,1,
2020,144267357,1,
2020,144273105,6,
2020,148161488,1,
2020,148161810,1,
2020,144269380,6,
2020,144270170,1,
2020,141577494,9,
2020,145458780,1,
2020,141571599,1,
2020,141577011,9,
2020,141577426,1,
2020,144270314,1,
2020,145459004,1,
2020,145455939,1,
2020,145458751,1,
2020,145455718,9,
2020,145455916,1,
2020,148160954,1,
2020,148157363,1,
2020,148157600,6,
2020,134509033,6,
2020,134509184,1,
2020,134509215,1,
2020,134509238,1,
2020,134508165,1,
2020,134509138,6,
2020,134509207,1,
2020,134508679,6,
2020,134508687,1,
2020,131287799,1,
2020,134518629,1,
2020,133070865,10,
2020,133062390,6,
2020,145458910,1,
2020,145456212,6,
2020,148157317,1,
2020,145456293,6,
2020,145456148,6,
2020,144267770,6,
2020,145459361,1,
2020,148160931,1,
2020,148160754,1,
2020,148157216,6,
2020,146734870,1,
2020,142494388,1,
2020,142494788,1,
2020,146735477,9,
2020,146738213,1,
2020,131299673,1,
2020,131287725,1,
2020,131328523,1,
2020,131328522,1,
2020,131325854,1,
2020,131287758,1,
2020,131287757,1,
2020,131296428,6,
2020,131325350,6,
2020,131325434,6,
2020,131325580,1,
2020,131325791,1,
2020,131299563,1,
2020,131302943,1,
2020,144269373,1,
2020,144267613,1,
2020,144268833,1,
2020,144269552,6,
2020,144272998,6,
2020,144267191,1,
2020,144267277,1,
2020,145456275,6,
2020,145456173,1,
2020,145456246,2,
2020,145455686,6,
2020,145455761,1,
2020,145455754,1,
2020,145458857,1,
2020,144268851,1,
2020,144268788,17,
2020,144268880,1,
2020,144268815,3,
2020,144268861,1,
2020,145455684,1,
2020,145459114,1,
2020,145456142,6,
2020,145459432,6,
2020,145459441,1,
2020,145459439,6,
2020,145458948,1,
2020,145455892,10,
2020,145459034,1,
2020,145459035,1,
2020,145456134,9,
2020,145459190,1,
2020,145459412,2,
2020,145456335,2,
2020,144268916,1,
2020,144270315,6,
2020,144270337,1,
2020,148157325,1,
2020,148160984,1,
2020,148161012,1,
2020,148157448,1,
2020,148157470,9,
2020,148157507,2,
2020,148161131,1,
2020,148161531,1,
2020,148163205,1,
2020,145459207,1,
2020,145456116,6,
2020,146735163,1,
2020,142499775,1,
2020,142495710,9,
2020,142500391,9,
2020,142745788,1,
2020,146735054,1,
2020,146738485,6,
2020,146735550,1,
2020,142499064,6,
2020,142499738,1,
2020,142495131,1,
2020,146734708,9,
2020,131299595,1,
2020,131299627,1,
2020,133062383,1,
2020,133075203,1,
2020,133071087,6,
2020,133071098,1,
2020,133070601,9,
2020,141572305,6,
2020,141572628,10,
2020,133070712,6,
2020,142749924,1,
2020,133071040,1,
2020,133074909,1,
2020,133074908,1,
2020,140327891,1,
2020,140327912,9,
2020,140328367,1,
2020,133062359,1,
2020,142500652,1,
2020,141575312,1,
2020,141572110,6,
2020,141577144,2,
2020,141577147,2,
2020,141572485,1,
2020,141572604,1,
2020,141586367,6,
2020,141578661,6,
2020,141578659,6,
2020,141578666,6,
2020,140327893,1,
2020,140328000,9,
2020,140328018,1,
2020,140321531,9,
2020,140321528,9,
2020,140321532,9,
2020,140328040,1,
2020,140328113,1,
2020,140328129,1,
2020,140321649,9,
2020,140321668,1,
2020,140321683,9,
2020,140321701,1,
2020,140328311,1,
2020,140328392,1,
2020,140328399,9,
2020,137589494,1,
2020,131328640,3,
2020,133075116,9,
2020,134507997,6,
2020,134508175,1,
2020,134509182,9,
2020,141571420,1,
2020,141576000,2,
2020,141576988,3,
2020,141572451,1,
2020,141572468,1,
2020,141572498,1,
2020,141572605,6,
2020,141572673,1,
2020,141577692,1,
2020,131299618,1,
2020,133062398,1,
2020,133075281,1,
2020,133070663,1,
2020,133075106,1,
2020,133062366,1,
2020,133075240,1,
2020,133070958,1,
2020,134509113,6,
2020,134508048,1,
2020,134508445,6,
2020,134518840,1,
2020,134518126,1,
2020,134508170,1,
2020,134518718,6,
2020,134518790,1,
2020,134509149,6,
2020,134508931,6,
2020,134518812,6,
2020,134509227,1,
2020,134512915,1,
2020,134518009,1,
2020,134508819,1,
2020,142750132,1,
2020,134517957,1,
2020,134508330,6,
2020,134518698,6,
2020,133062414,6,
2020,142495859,1,
2020,142500500,1,
2020,142495868,6,
2020,142500417,6,
2020,142494689,1,
2020,142499327,9,
2020,146734749,1,
2020,146738509,6,
2020,146738782,6,
2020,142494858,1,
2020,142745554,1,
2020,142499013,1,
2020,142499215,6,
2020,142499060,1,
2020,142494921,6,
2020,142499362,1,
2020,142499803,9,
2020,142500441,1,
2020,142499600,1,
2020,142494932,1,
2020,142745651,6,
2020,142499190,1,
2020,142745745,10,
2020,148157654,6,
2020,148161212,1,
2020,148161740,9,
2020,148163276,1,
2020,141577282,1,
2020,148157321,1,
2020,148157869,1,
2020,144269381,1,
2020,144273242,6,
2020,144273260,6,
2020,144270605,6,
2020,144267215,1,
2020,144269440,1,
2020,144269568,1,
2020,144273091,6,
2020,144267331,1,
2020,144267578,1,
2020,148160898,9,
2020,148157364,1,
2020,148157381,1,
2020,148161682,6,
2020,141586374,1,
2020,148161582,1,
2020,148161736,8,
2020,148160996,1,
2020,144270194,6,
2020,141577719,9,
2020,144267168,1,
2020,144268701,1,
2020,144270186,1,
2020,144270411,6,
2020,144270469,1,
2020,145459038,1,
2020,145459036,1,
2020,145459037,1,
2020,148161460,1,
2020,148163179,1,
2020,148161309,1,
2020,148161770,1,
2020,148161874,1,
2020,141576005,2,
2020,141571532,2,
2020,141576010,2,
2020,141571528,2,
2020,141575987,2,
2020,145458943,1,
2020,145456016,10,
2020,145455882,1,
2020,145458768,6,
2020,145459323,6,
2020,145458936,1,
2020,145459216,6,
2020,144267212,1,
2020,144267286,9,
2020,145458804,1,
2020,141572614,1,
2020,145458816,1,
2020,145455953,10,
2020,145456098,6,
2020,145458729,1,
2020,145459326,6,
2020,145458765,6,
2020,146738211,1,
2020,146735604,3,
2020,146738343,1,
2020,146735632,3,
2020,141572487,1,
2020,141572739,1,
2020,141578664,6,
2020,140328988,9,
2020,140321707,1,
2020,135408327,6,
2020,135408634,1,
2020,140321714,6,
2020,140328353,6,
2020,135404796,1,
2020,135408405,2,
2020,135404949,6,
2020,135408651,1,
2020,135408777,1,
2020,137589418,1,
2020,137589502,1,
2020,137594597,1,
2020,137594882,1,
2020,135408370,6,
2020,135408436,1,
2020,135408437,1,
2020,139463150,1,
2020,135408574,1,
2020,135408588,1,
2020,135408778,1,
2020,134518820,6,
2020,134518924,9,
2020,134518925,9,
2020,137594865,1,
2020,137589528,1,
2020,137595081,1,
2020,137586804,10,
2020,148157307,1,
2020,148157369,1,
2020,148161330,1,
2020,148163186,9,
2020,148163273,1,
2020,137594969,1,
2020,137589223,1,
2020,134509040,1,
2020,137589408,1,
2020,137589338,1,
2020,140328992,1,
2020,140329024,1,
2020,133074903,8,
2020,133075056,1,
2020,133062384,1,
2020,131287727,1,
2020,133070845,1,
2020,133075289,1,
2020,133071042,1,
2020,133070777,1,
2020,133070873,1,
2020,134512988,2,
2020,134518864,1,
2020,134518570,6,
2020,134513123,1,
2020,134513318,1,
2020,134509026,1,
2020,134513352,2,
2020,134513382,2,
2020,134509127,1,
2020,134518020,10,
2020,138560532,1,
2020,134518068,9,
2020,138560208,9,
2020,138560293,1,
2020,138560288,1,
2020,138560464,1,
2020,138561143,6,
2020,134518617,1,
2020,138560325,9,
2020,138560383,1,
2020,138560376,1,
2020,138560613,6,
2020,138560614,9,
2020,138561124,9,
2020,138561237,1,
2020,138561236,1,
2020,138560542,9,
2020,138561042,1,
2020,138561075,1,
2020,138561517,1,
2020,138561707,6,
2020,138560667,9,
2020,138560570,10,
2020,138560649,1,
2020,138561561,9,
2020,138561677,8,
2020,138561673,8,
2020,138561670,8,
2020,138560470,1,
2020,138560466,1,
2020,138561097,1,
2020,138561898,6,
2020,138561905,9,
2020,138560932,1,
2020,138561860,1,
2020,142498630,1,
2020,142494359,1,
2020,142494537,1,
2020,142499142,1,
2020,142499192,1,
2020,142499404,6,
2020,142499404,1,
2020,142494924,1,
2020,142494970,1,
2020,142495056,2,
2020,142495055,6,
2020,142495172,6,
2020,142495742,6,
2020,142500414,6,
2020,142500413,6,
2020,142495782,1,
2020,142495948,1,
2020,142496012,6,
2020,138560209,9,
2020,138560207,9,
2020,138560199,9,
2020,138560211,9,
2020,138560214,9,
2020,138560215,9,
2020,138560204,9,
2020,138560213,9,
2020,138560197,9,
2020,138560381,1,
2020,138560386,1,
2020,138560471,1,
2020,138560917,1,
2020,138561062,1,
