"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,145206599,127824277,0,,,"",,,,
2020,145206637,127824306,0,,,"",,,,
2020,145203735,127829822,0,,,"",,,,
2020,145203774,127829895,0,,,"",,,,
2020,145206796,127829925,0,,,"",,,,
2020,145206814,127829946,1,5,35,"M",2,2,35,0
2020,145206832,127824406,1,5,33,"M",1,,33,0
2020,145206915,127830025,0,,,"",,,,
2020,145203839,127830052,1,5,30,"M",1,2,30,0
2020,145206957,127830068,0,,,"",,,,
2020,142432153,125197108,1,5,12,"F",1,,12,0
2020,142435042,125193550,1,5,19,"F",1,,19,0
2020,142432361,125193645,1,5,33,"M",1,,33,0
2020,142435219,125193651,0,,,"",,,,
2020,142435224,125193661,1,5,34,"F",1,2,34,0
2020,142435238,125197374,0,,,"",,,,
2020,142432480,125193762,1,5,27,"M",1,2,27,0
2020,142432513,125197468,1,5,68,"F",1,,68,0
2020,142432523,125193796,0,,,"",,,,
2020,142432528,125193800,0,,,"",,,,
2020,142435380,125193820,1,5,67,"M",1,,67,0
2020,142435404,125197530,0,,,"",,,,
2020,142432578,125197547,1,5,31,"M",1,2,31,0
2020,142432623,125193892,1,5,50,"F",1,2,50,0
2020,142423980,125185486,1,5,38,"F",1,,38,0
2020,142428091,125190396,0,,,"",,,,
2020,142428312,125185901,1,5,27,"M",1,2,27,0
2020,146462287,128968673,1,5,25,"M",1,2,25,0
2020,146465018,128968715,0,,,"",,,,
2020,146465030,128963572,1,5,24,"M",1,,24,0
2020,146462404,128963634,0,,,"",,,,
2020,146465125,128963670,0,,,"",,,,
2020,146465148,128963701,1,5,44,"M",1,,44,0
2020,146465152,128963705,1,5,41,"M",1,2,41,0
2020,146465178,128963726,0,,,"",,,,
2020,146462495,128963728,1,5,44,"F",1,2,44,0
2020,147598233,130020413,1,5,46,"M",1,2,46,0
2020,147598234,130020413,2,5,37,"M",2,2,37,0
2020,147598282,130020462,0,,,"",,,,
2020,147598321,130022412,0,,,"",,,,
2020,147600543,130020546,0,,,"",,,,
2020,147598350,130022452,0,,,"",,,,
2020,144324574,126996229,0,,,"",,,,
2020,144328754,126996237,1,5,14,"F",1,2,14,0
2020,144328826,126996299,0,,,"",,,,
2020,144328835,127001234,0,,,"",,,,
2020,144328854,126996333,1,5,29,"M",1,2,29,0
2020,144328910,126996390,0,,,"",,,,
2020,144324470,126996125,0,,,"",,,,
2020,144328696,127001127,0,,,"",,,,
2020,144324564,126996214,1,5,21,"M",1,,21,0
2020,144324582,126996235,0,,,"",,,,
2020,144328763,126996243,0,,,"",,,,
2020,144328771,127001186,1,5,15,"F",1,,15,0
2020,144328775,126996256,1,5,23,"F",1,2,23,0
2020,144324611,126996266,0,,,"",,,,
2020,144328788,126996270,1,5,39,"F",1,2,39,0
2020,142432303,125197232,1,5,26,"F",1,,26,0
2020,142435227,125193664,1,5,39,"M",1,2,39,0
2020,142435248,125197378,1,5,63,"M",1,2,63,0
2020,142432422,125197394,0,,,"",,,,
2020,142432436,125193713,0,,,"",,,,
2020,142432509,125197457,1,5,53,"F",1,,53,0
2020,142432517,125197475,0,,,"",,,,
2020,142432522,125197484,1,5,32,"M",1,2,32,0
2020,142435356,125193798,1,5,38,"M",1,2,38,0
2020,142432527,125193801,0,,,"",,,,
2020,142432535,125197489,1,5,38,"M",1,2,38,0
2020,142432544,125193821,0,,,"",,,,
2020,142435408,125193842,1,5,31,"M",1,2,31,0
2020,142432608,125197562,1,5,31,"M",1,2,31,0
2020,149103025,131365765,1,5,27,"F",1,,27,0
2020,149099605,131365777,0,,,"",,,,
2020,149103106,131365841,1,5,39,"M",1,,39,0
2020,149103123,131360421,1,5,36,"F",1,,36,0
2020,149103367,131360549,0,,,"",,,,
2020,149103443,131360605,0,,,"",,,,
2020,146461082,128967129,1,5,22,"M",1,,22,0
2020,149102390,131365191,1,5,22,"M",1,,22,0
2020,149102410,131360059,0,,,"",,,,
2020,149102458,131365259,1,5,38,"M",1,,38,0
2020,146460565,128961865,0,,,"",,,,
2020,149099316,131365264,0,,,"",,,,
2020,149099330,131365290,1,5,49,"M",2,,49,0
2020,149099337,131365296,1,5,31,"M",1,,31,0
2020,149102545,131365330,0,,,"",,,,
2020,149102551,131365343,1,5,65,"M",1,,65,0
2020,149102581,131365361,1,5,45,"M",1,,45,0
2020,149102608,131365378,0,,,"",,,,
