"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,146735209,160868649
2020,146735289,160864179
2020,146735332,160868759
2020,146735438,160868869
2020,146735451,160868881
2020,146735667,160864437
2020,134508080,148297306
2020,134518042,148287143
2020,134508094,148287145
2020,134508098,148297327
2020,134508110,148297339
2020,134508128,148287182
2020,134508137,148297356
2020,134508159,148297377
2020,134508175,148287236
2020,134518151,148287247
2020,134518169,148287265
2020,134518169,148287267
2020,134518169,148287266
2020,134508192,148287281
2020,134508199,148297421
2020,134508200,148297421
2020,134508209,148297428
2020,134508214,148297434
2020,134508218,148297441
2020,134508240,148287337
2020,134508242,148297468
2020,134508245,148297471
2020,134508249,148297476
2020,134508274,148297510
2020,134518290,148287387
2020,134518291,148287388
2020,134508317,148287414
2020,134508358,148297600
2020,134518365,148287465
2020,134508430,148297673
2020,134508604,148301389
2020,134507966,148287025
2020,134507985,148297200
2020,134507991,148297206
2020,134507997,148297214
2020,134507998,148297215
2020,134508016,148297237
2020,134508038,148297259
2020,134508045,148297267
2020,134508061,148297283
2020,134508723,148297973
2020,134513157,148287658
2020,131325600,145117142
2020,131322608,145122166
2020,131322616,145122174
2020,131322626,145122185
2020,131322693,145115062
2020,131322702,145122259
2020,146738574,160868730
2020,146738686,160868893
2020,146738709,160864311
2020,146735507,160864325
2020,146738737,160864329
2020,146738737,160864330
2020,146735569,160864372
2020,146738792,160864388
2020,146735602,160864404
2020,146738810,160864412
2020,146735648,160869089
2020,146735665,160864435
2020,146738838,160869120
2020,145458714,159622552
2020,145458756,159622586
2020,145455694,159622605
2020,145458786,159622612
2020,145458797,159619785
2020,145455722,159622646
2020,145455747,159622664
2020,145455762,159619834
2020,145458918,159619885
2020,145455940,159620019
2020,145459351,159620390
2020,145459369,159623166
2020,145456352,159620451
2020,145456353,159620451
2020,145456354,159620453
2020,145456355,159620454
2020,145456356,159620455
2020,145456357,159620456
2020,145456358,159620457
2020,145456359,159620458
2020,145456360,159620459
2020,141572452,155704397
2020,141577508,155704635
2020,141577524,155704644
2020,141572683,155698608
2020,141572798,155698715
2020,141577650,155704767
2020,145458690,159622532
2020,145455642,159619720
2020,145455647,159619730
2020,145458727,159619737
2020,145458728,159619737
2020,145458766,159619760
2020,145455738,159622659
2020,145455767,159622697
2020,145458906,159619869
2020,145458933,159619895
2020,145455827,159619901
2020,145455849,159619927
2020,145458965,159622781
2020,145456047,159620116
2020,145456088,159620156
2020,145459128,159620156
2020,145456218,159620302
2020,145459299,159623088
2020,145456346,159620444
2020,144267853,158400911
2020,144269928,158401420
2020,144270023,158401509
2020,144270046,158401033
2020,144272992,158401043
2020,144270099,158401589
2020,144270104,158401597
2020,144270104,158401591
2020,144270132,158401085
2020,144273049,158401639
2020,144273100,158401147
2020,144273100,158401152
2020,144273100,158401148
2020,144273173,158401792
2020,144273185,158406239
2020,144273200,158401814
2020,144273216,158406269
2020,144270350,158406282
2020,144273235,158406288
2020,144270377,158401869
2020,144270384,158406308
2020,144270411,158406323
2020,144270411,158401895
2020,144270527,158406400
2020,144273351,158402008
2020,144270539,158406411
2020,144270572,158402045
2020,144273389,158406455
2020,141577328,155704439
2020,141577344,155698462
2020,141577366,155704472
2020,141572549,155698505
2020,141572634,155698565
2020,141577640,155698711
2020,141577674,155704781
2020,141577670,155704781
2020,141577682,155704794
2020,141577690,155704800
2020,141575694,155697235
2020,141577450,155698544
2020,141572735,155698663
2020,141577605,155704723
2020,141572806,155704766
2020,141577657,155698735
2020,141577684,155704795
2020,141578638,155711390
2020,141578638,155711392
2020,141586381,155708487
2020,141577537,155704660
2020,141577552,155698628
2020,141577568,155704683
2020,141577595,155704704
2020,141577653,155704769
2020,141572829,155698751
2020,141572844,155704824
2020,141577313,155704422
2020,141572490,155698444
2020,141572504,155698464
2020,141577383,155704483
2020,141577461,155698549
2020,141577584,155704698
2020,141577616,155704732
2020,141572788,155698709
2020,141577672,155704786
2020,141577694,155704802
2020,141572565,155704523
2020,141577429,155704530
2020,141577493,155698577
2020,141577510,155698586
2020,141577560,155698632
2020,141572719,155698643
2020,141577583,155704696
2020,141576873,155698151
2020,142750270,156892411
2020,142745881,156887219
2020,142745879,156887219
2020,142750283,156892421
2020,142745889,156892426
2020,142499660,156632215
2020,142495097,156627372
2020,142499746,156632302
2020,142499750,156632302
2020,142495138,156632305
2020,142495166,156632345
2020,142500396,156628039
2020,142495706,156627984
2020,142500384,156628024
2020,142500418,156632954
2020,142500428,156632964
2020,142500450,156632981
2020,142500462,156632992
2020,142495829,156633010
2020,142500482,156633021
2020,142495852,156633036
2020,142495857,156628143
2020,142495881,156628161
2020,142500516,156628173
2020,142500538,156628193
2020,142495917,156633090
2020,142495927,156633097
2020,142495927,156633098
2020,142500574,156633125
2020,142500614,156628295
2020,142496048,156633207
2020,142500650,156628329
2020,141571982,155703632
2020,141576999,155704120
2020,141577153,155698321
2020,141572764,155704726
2020,141577614,155698689
2020,141577673,155704773
2020,141577683,155704793
2020,141577705,155704820
2020,141575714,155697249
2020,141572587,155698539
2020,141572428,155698399
2020,141572567,155698524
2020,141577545,155704666
2020,141572756,155698676
2020,141577631,155704752
2020,141577660,155698738
2020,141577661,155698739
2020,141577688,155704801
2020,142745616,156886936
2020,141577607,155704724
2020,141577635,155698708
2020,141577669,155704778
2020,142745560,156886886
2020,142749909,156886932
2020,142745616,156886941
2020,142745638,156886970
2020,142745665,156892130
2020,142750012,156892179
2020,142750132,156892280
2020,142750205,156892352
2020,142745872,156892417
2020,141577280,155704372
2020,141577356,155698475
2020,141577434,155698531
2020,141577434,155698533
2020,141572594,155698545
2020,141572637,155704604
2020,141572643,155704617
2020,141572731,155704702
2020,141577609,155698680
2020,141572771,155698691
2020,141577636,155704751
2020,141577652,155704770
2020,141577687,155704798
2020,141577096,155704215
2020,141577295,155698413
2020,141572498,155698457
2020,141577354,155698473
2020,141577377,155704477
2020,141572537,155704484
2020,141572559,155704510
2020,141572320,155704228
2020,141577279,155704374
2020,141572443,155698407
2020,141577406,155704509
2020,141572569,155704527
2020,141577494,155698574
2020,141572668,155698588
2020,141577511,155698588
2020,141577512,155698588
2020,141572671,155698588
2020,141572667,155698588
2020,141577519,155698588
2020,141572670,155698588
2020,141572669,155698588
2020,141572664,155698588
2020,141577575,155704693
2020,141577671,155704782
2020,141577580,155698650
2020,141577606,155704725
2020,141577659,155698736
2020,141577699,155704808
2020,141577266,155704359
2020,141577273,155704364
2020,141572423,155704371
2020,141572450,155698409
2020,141577309,155704418
2020,141577319,155704427
2020,141577358,155704464
2020,141572531,155698488
2020,141577416,155698517
2020,141572695,155698622
