"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,40129828,129796894,1,04-MAY-20,3,"M",45,5,33,"M",1,2,"N","","",33,0
2020,40129522,129794555,1,04-MAY-20,2,"C",23,5,24,"F",1,2,"R","","",24,0
2020,40129523,129794555,2,04-MAY-20,2,"C",23,5,42,"F",1,,"R","","",42,0
2020,40129676,129795095,1,25-SEP-20,1,"N",39,5,30,"M",1,2,"R","","",30,0
2020,40129877,129795738,1,22-JUL-20,2,"N",23,5,40,"M",1,2,"R","","",40,0
2020,40130027,129801447,1,23-SEP-20,2,"C",63,5,40,"M",1,2,"R","","",40,0
2020,40134658,129796514,1,22-AUG-20,2,"N",51,5,33,"M",1,2,"R","","",33,0
2020,40129735,129795288,1,24-FEB-20,1,"N",51,5,48,"M",1,2,"R","","",48,0
2020,40134763,129796670,1,02-MAR-20,2,"N",27,5,13,"F",1,2,"R","R","",13,0
2020,40129736,129795297,1,31-MAR-20,2,"N",51,5,35,"M",1,2,"R","","",35,0
2020,40129867,129795705,1,11-OCT-20,2,"N",27,5,23,"M",1,2,"R","","",23,0
2020,40129730,129796646,1,01-MAY-20,1,"N",51,5,76,"F",1,2,"R","","",76,0
2020,40129868,129795709,1,10-AUG-20,2,"C",16,5,48,"F",1,2,"R","","",48,0
2020,40129976,129801249,1,28-FEB-20,3,"N",45,5,22,"F",1,2,"R","","",22,0
2020,40129994,129801313,1,28-APR-20,3,"C",32,5,27,"M",4,,"R","","",27,0
2020,40130018,129797714,1,14-JUL-20,3,"N",51,5,30,"M",1,3,"R","","",30,0
2020,40130041,129797819,1,10-OCT-20,2,"N",51,5,50,"F",1,2,"R","","",50,0
2020,40938090,132437341,1,17-SEP-20,2,"N",45,5,33,"F",1,,"R","","",33,0
2020,40938112,132435062,1,10-DEC-20,3,"N",27,5,33,"M",1,2,"R","","",33,0
2020,40938179,132437573,1,28-NOV-20,2,"N",51,5,33,"M",1,2,"N","","",33,0
2020,40933696,132437580,1,22-OCT-20,2,"C",27,5,40,"M",1,,"R","","",40,0
2020,40938276,132435414,1,27-NOV-20,1,"N",16,5,28,"F",1,2,"R","","",28,0
2020,40933779,132435422,1,05-NOV-20,3,"C",16,5,37,"M",1,2,"R","","",37,0
2020,40933781,132435426,1,10-NOV-20,2,"N",27,5,19,"M",1,2,"R","","",19,0
2020,40938118,132435070,1,14-DEC-20,3,"N",16,5,50,"M",1,2,"R","","",50,0
2020,40933647,132437402,1,02-DEC-20,2,"N",51,5,46,"M",1,2,"","","",46,0
2020,40938197,132437604,1,12-NOV-20,2,"N",56,5,15,"M",1,,"R","H","",15,0
2020,40938225,132435288,1,30-NOV-20,2,"N",23,5,38,"M",1,2,"N","","",38,0
2020,40938241,132437664,1,11-NOV-20,2,"N",16,5,24,"M",2,2,"R","","",24,0
