"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,134512978,4
2020,134513041,5
2020,142745587,4
2020,142749911,4
2020,142745725,4
2020,142745745,4
2020,142745724,5
2020,142745621,4
2020,134518025,4
2020,134508196,4
2020,134508211,4
2020,134508328,4
2020,134508391,4
2020,134513024,4
2020,134508687,4
2020,134508823,4
2020,134508924,4
2020,134508940,5
2020,134509035,5
2020,134509192,4
2020,134509227,4
2020,142745680,4
2020,142745613,4
2020,142745653,2
2020,142745686,4
2020,142745706,4
2020,131322686,4
2020,142494287,4
2020,142499259,4
2020,142500417,5
2020,142500586,5
2020,142494422,4
2020,142494575,4
2020,142498691,4
2020,142499095,4
2020,142499295,4
2020,142494820,4
2020,142499362,2
2020,142499363,4
2020,142499803,5
2020,142500400,4
2020,142500499,5
2020,142495860,5
2020,142500515,4
2020,142495900,5
2020,142495930,5
2020,145455899,4
2020,145459232,4
2020,145456173,4
2020,142494718,5
2020,144269945,4
2020,144268695,4
2020,144267331,5
2020,144267768,4
2020,144269968,4
2020,144269669,4
2020,144273082,4
2020,144270237,4
2020,144273189,3
2020,144270456,4
2020,144270584,4
2020,146734762,4
2020,146734760,4
2020,146734757,4
2020,146738173,4
2020,146738176,4
2020,146738269,4
2020,146738465,4
2020,146738469,4
2020,146738588,4
2020,144268701,5
2020,144267168,4
2020,144267187,4
2020,144267480,4
2020,144270186,2
2020,144270514,4
2020,144269122,4
2020,144270065,4
2020,144269248,4
2020,144269563,4
2020,144269659,4
2020,144269957,4
2020,144269672,4
2020,144267408,4
2020,144269444,4
2020,144267770,4
2020,146735660,4
2020,144267199,2
2020,144267198,4
2020,144267282,5
2020,144267377,4
2020,144269352,4
2020,144270215,4
2020,146735020,4
2020,146738405,4
2020,145458715,4
2020,145458717,5
2020,145455780,4
2020,145458891,4
2020,145459440,4
2020,145455884,4
2020,145456194,4
2020,145458856,5
2020,145458855,5
2020,145455774,4
2020,145459414,4
2020,144268681,5
2020,144267205,4
2020,144267212,4
2020,144268810,4
2020,144267280,4
2020,144267286,4
2020,148160778,5
2020,148160852,4
2020,148157317,5
2020,148157325,4
2020,148160939,5
2020,148160961,4
2020,148161012,4
2020,148161156,4
2020,148161207,4
2020,148161330,4
2020,148161623,4
2020,148163095,4
2020,148163098,4
2020,148163226,4
2020,148163250,4
2020,148161817,4
2020,148163257,4
2020,148163273,4
2020,146734710,4
2020,146734811,4
2020,145455676,4
2020,145458753,4
2020,145458755,4
2020,145455754,4
2020,145455761,5
2020,145458857,4
2020,142494554,4
2020,142494388,4
2020,142494788,4
2020,146735043,5
2020,146735299,4
2020,146738236,4
2020,146734855,4
2020,146735012,4
2020,146735344,4
2020,146735488,5
2020,146738717,5
2020,146735492,5
2020,146738413,5
2020,146735502,5
2020,146738738,4
2020,148157363,2
2020,148157600,4
2020,148161213,4
2020,148157602,4
2020,148157164,5
2020,148163214,4
2020,148157369,4
2020,148163212,4
2020,148163213,4
2020,148161747,4
2020,148163215,4
2020,148163242,4
2020,148157505,4
2020,148157218,5
2020,148160928,4
2020,148157509,4
2020,148161131,4
2020,148157656,4
2020,148163186,8
2020,148161825,4
2020,148157355,4
2020,148160950,4
2020,148163244,4
2020,148163300,4
2020,148161869,4
2020,146735028,5
2020,146735058,5
2020,146735163,2
2020,146735163,4
2020,146735646,4
2020,146734956,4
2020,146735100,6
2020,146734890,4
2020,146735435,5
2020,148157470,3
2020,148161471,4
2020,148161531,2
2020,148161597,4
2020,148157149,5
2020,148157229,5
2020,148157230,5
2020,148157307,2
2020,148161219,4
2020,148161687,4
2020,148160754,6
2020,148157319,4
2020,148157594,4
2020,148161688,4
2020,148163274,4
2020,148157724,4
2020,148161691,4
2020,148163176,4
2020,148161603,4
2020,148161605,4
2020,142750088,5
2020,142750163,4
2020,142750165,4
2020,142749919,5
2020,142750071,5
2020,138560094,4
2020,138560168,4
2020,138560202,5
2020,138560208,5
2020,138560222,2
2020,138560293,5
2020,138560288,5
2020,138560321,4
2020,138560346,4
2020,138560349,4
2020,138560368,4
2020,138560404,4
2020,138560423,5
2020,138560456,2
2020,138560506,4
2020,138560548,5
2020,138560547,4
2020,138560554,4
2020,138560568,5
2020,138560571,5
2020,138560577,4
2020,138560737,1
2020,138560888,5
2020,138560908,4
2020,138560948,4
2020,138561038,5
2020,138561055,4
2020,138561161,4
2020,138561180,4
2020,138561180,3
2020,138561223,4
2020,138561221,4
2020,138561236,4
2020,138561237,4
2020,138561292,5
2020,138561309,4
2020,138561322,5
2020,138561465,4
2020,138561525,4
2020,138561526,4
2020,138561554,4
2020,138561575,4
2020,138561597,4
2020,138561687,5
2020,138561691,5
2020,138561706,4
2020,138561714,2
2020,138561717,5
2020,138561780,4
2020,138561781,4
2020,138561781,2
2020,138561796,4
2020,138561800,4
2020,138561898,4
2020,138561894,4
2020,142498557,4
2020,142494253,8
2020,142494253,4
2020,142498630,6
2020,142498630,8
2020,142494320,4
2020,142498719,4
2020,142494359,4
2020,142494447,5
2020,142498948,4
2020,142499051,4
2020,142499038,4
2020,142499057,4
2020,142499119,5
2020,142494658,4
2020,142494664,4
2020,142499161,4
2020,142494691,4
2020,142499191,5
2020,142499193,4
2020,142499197,4
2020,142494730,5
2020,142499239,4
2020,142499255,4
2020,142494740,4
2020,142494742,4
2020,142499268,4
2020,142499291,4
2020,142494777,5
2020,142494802,5
2020,142499349,4
2020,142499343,4
2020,142494841,4
2020,142499529,5
2020,142499547,4
2020,142494969,4
2020,142494984,5
2020,142494983,5
2020,142499603,4
2020,142495010,4
2020,142499627,5
2020,142499625,5
2020,142499651,4
2020,142495074,4
2020,142499731,5
2020,142495087,4
2020,142495089,4
2020,142495091,4
2020,142499723,5
2020,142495125,4
2020,142499804,4
2020,142495192,4
2020,142499834,4
2020,142495738,4
2020,142495782,4
2020,142495908,5
2020,142500559,5
2020,142500652,5
2020,141575716,5
2020,141575822,5
2020,141571431,4
2020,141571510,5
2020,141576108,5
2020,141576261,5
2020,141572245,5
2020,141572296,5
2020,141577411,5
2020,141572561,5
2020,141577471,4
2020,141577544,4
2020,141572770,4
2020,141577628,4
2020,141577622,4
2020,141572791,4
2020,141577696,2
2020,141577703,2
2020,141578627,4
2020,141578636,5
2020,141578661,3
2020,141578675,1
2020,141578675,6
2020,134508417,4
2020,136604879,4
2020,134508931,4
2020,134509038,4
2020,134518788,5
2020,134518812,4
2020,134518812,3
2020,140327943,5
2020,140327940,5
2020,140321527,5
2020,140328022,2
2020,140321547,4
2020,140321566,4
2020,140328114,5
2020,140328363,4
2020,140328372,4
2020,140328406,4
2020,140329014,4
2020,134518100,4
2020,134518126,4
2020,134508170,4
2020,136604912,4
2020,136604653,4
2020,135404817,5
2020,135408650,5
2020,135408649,5
2020,135405134,4
2020,139459672,4
2020,135404775,4
2020,135404803,4
2020,135404803,2
2020,135404806,4
2020,135405106,2
2020,136604599,4
2020,135404863,4
2020,142745638,5
2020,142745710,4
2020,142745742,5
2020,142750150,4
2020,135404678,4
2020,135404891,4
2020,135408604,4
2020,135404979,4
2020,135404978,4
2020,135408745,4
2020,135405141,4
2020,135405150,5
2020,135405151,4
2020,135405164,5
2020,136618397,5
2020,135404704,4
2020,135404944,4
2020,135408597,4
2020,135404955,5
2020,135404969,2
2020,135405001,4
2020,135404773,4
2020,135404669,4
2020,136603727,4
2020,136604604,4
2020,136604857,4
2020,136604881,4
2020,134508002,4
2020,134512911,4
2020,134512923,4
2020,134512926,4
2020,134508104,4
2020,134518141,5
2020,134512988,5
2020,135404911,5
2020,135405015,4
2020,135408750,2
2020,136603716,5
2020,136603717,4
2020,134513273,4
2020,134509026,4
2020,134518738,4
2020,134513352,5
2020,134513366,5
2020,134513382,4
2020,134509119,5
2020,134513392,4
2020,134513391,4
2020,134513432,4
2020,135404763,5
2020,135408419,4
2020,135404855,4
2020,139463073,4
2020,139459736,4
2020,139463194,4
2020,139463150,4
2020,139459670,4
2020,135404823,4
2020,135408779,4
2020,135408778,2
2020,135408409,4
2020,135408410,4
2020,135408408,5
2020,135408457,5
2020,135408527,5
2020,135408574,2
2020,135404957,5
2020,135408727,4
2020,135408283,4
2020,135408338,4
2020,135408370,4
2020,135408401,4
2020,135408400,4
2020,135408437,5
2020,135408436,5
2020,142745664,4
2020,142749972,4
2020,142745729,5
2020,134507942,4
2020,134507944,4
2020,134507943,4
2020,134517918,4
2020,134517915,4
2020,134517914,4
