"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,138560290,143420328,16,44640993
2020,138560278,143420327,16,44640983
2020,138560278,143420330,16,44640985
2020,138560278,143420328,16,44640984
2020,138560313,143420353,1,44641010
2020,138560305,143420347,1,44641006
2020,138560310,143420349,16,44641009
2020,138560303,143420349,16,44641007
2020,138560304,143420349,16,44641008
2020,138560318,143420371,5,44641012
2020,138560325,143420352,1,44641011
2020,138560325,143420354,1,44641013
2020,138560330,143420374,3,44641014
2020,138560296,143420346,3,44641000
2020,138560301,143420346,25,44641005
2020,138560296,143420345,25,44641002
2020,138560301,143420345,3,44641003
2020,138560349,143420394,1,44641018
2020,138560349,143420395,25,44641017
2020,138560346,143420394,25,44641016
2020,138560346,143420395,1,44641015
2020,138560368,143420407,3,44641019
2020,138560383,143420424,16,44641022
2020,138560376,143420424,26,44641020
2020,138560386,143420426,1,44641023
2020,138560381,143420426,1,44641021
2020,138560392,143420433,16,44641028
2020,138560392,143420434,25,44641027
2020,138560390,143420433,25,44641024
2020,138560390,143420434,16,44641025
2020,138560404,143420461,5,44641032
2020,138560417,143420446,25,44641031
2020,138560399,143420444,26,44641029
2020,138560399,143420445,25,44641030
2020,138560417,143420445,16,44641034
2020,138560423,143420458,9,44641033
2020,138560430,143420474,1,44641035
2020,138560430,143420471,1,44641036
2020,138560443,143420495,9,44641038
2020,138560449,143420500,3,44641040
2020,138560447,143420497,18,44641039
2020,138560465,143420517,21,44641044
2020,138560455,143420505,3,44641042
2020,138560464,143420515,1,44641043
2020,145458909,150330696,1,47727873
2020,145455801,150328408,1,47727876
2020,145455801,150330696,25,47727877
2020,140327940,145206513,17,45431044
2020,140327943,145206513,11,45431046
2020,139463001,144328644,16,45036316
2020,139463020,144324485,4,45036323
2020,139463107,144328748,1,45036341
2020,139463139,144328777,24,45042992
2020,140322749,145207548,16,45441439
2020,141578627,146463349,1,45954857
2020,140321682,145206814,3,45431152
2020,140328353,145203839,26,45437739
2020,140321714,145203839,1,45431175
2020,145458909,150328408,25,47727874
2020,146735660,151771029,18,48330060
2020,148157620,153146487,16,48949298
2020,148157643,153146514,20,48945349
2020,148161603,153146892,24,48945489
2020,148161605,153146892,24,48949418
2020,148161398,153150110,1,48945418
2020,148163098,153146945,17,48945504
2020,148163095,153146945,25,48945502
2020,148163095,153146943,5,48945501
2020,148163098,153146943,25,48945505
2020,148163226,153150483,3,48945549
2020,139459836,144324626,19,45042999
2020,139463215,144324676,16,45043024
2020,139459780,144324589,25,45042988
2020,139459777,144324588,3,45042987
2020,139459777,144324589,1,45042986
2020,139459780,144324588,1,45036348
2020,139459763,144328738,3,45036337
2020,139459787,144324595,5,45042989
2020,145459201,150330989,24,47727949
2020,145459238,150331023,24,47727970
2020,145459378,150331165,3,47728010
2020,145459421,150331206,16,47728031
2020,145459425,150331207,15,47728032
2020,144267585,149102668,16,47169988
2020,144267640,149099468,27,47174161
2020,144267660,149102804,9,47170040
2020,144269570,149099558,24,47174181
2020,144267780,149103009,1,47174201
2020,144270087,149099796,1,47170246
2020,144270478,149103794,16,47170353
2020,144270479,149103794,16,47174344
2020,144270475,149103794,16,47174342
2020,144270561,149103863,18,47174353
2020,144267330,149099168,16,47169867
2020,144267328,149099168,21,47174075
2020,144267329,149099168,16,47174076
2020,141578661,146463384,3,45954865
2020,141572723,146465114,21,45954391
2020,148157885,153150176,18,48949370
2020,145455665,150328251,1,47725925
2020,145455672,150328251,1,47725927
2020,145455666,150328251,1,47725926
2020,145458973,150330767,3,47725982
2020,145459002,150328533,4,47727895
2020,145456162,150330994,15,47726050
2020,142494336,147347960,16,46396141
2020,142494357,147347984,16,46399211
2020,142498830,147344167,21,46396190
2020,142498936,147344261,1,46399280
2020,142498940,147348152,26,46396230
2020,142499000,147348189,21,46396271
2020,142499203,147344534,16,46401379
2020,142495063,147349991,3,46399506
2020,142495062,147349991,16,46399505
2020,142499785,147350098,27,46401608
2020,141572554,146459963,4,45954356
2020,142750252,147600516,9,46488956
2020,142750252,147600519,25,46488955
2020,142750247,147600519,9,46488953
2020,142750247,147600516,25,46488954
2020,142750192,147600466,19,46488940
2020,142498902,147344226,1,46396215
2020,142498902,147344227,1,46396217
2020,142499020,147348202,14,46396285
2020,142499208,147348342,24,46399372
2020,142499250,147344580,15,46401400
2020,142494755,147344605,21,46401417
2020,142499281,147348388,16,46399403
2020,142499415,147348530,16,46401475
2020,142495077,147348713,17,46401572
2020,142495760,147350681,3,46399683
2020,141571520,146461328,18,45956520
