"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,4,156892038
2020,4,156886947
2020,4,156892110
2020,4,156892147
2020,4,156892150
2020,4,156892140
2020,4,156892142
2020,4,156892141
2020,4,156887041
2020,4,156887045
2020,3,156892309
2020,1,156892326
2020,3,156887209
2020,4,156887208
2020,4,156892418
2020,3,156892423
2020,4,156887230
2020,4,150626532
2020,4,150622084
2020,4,150622485
2020,3,150626815
2020,3,150626814
2020,4,150626968
2020,4,145089339
2020,1,145089424
2020,4,145089430
2020,4,145089460
2020,4,145089485
2020,4,145089496
2020,4,145083414
2020,4,145083415
2020,4,145089594
2020,4,145089596
2020,3,145080389
2020,4,155711387
2020,4,155711389
2020,4,155708471
2020,4,155711417
2020,4,155711425
2020,1,155711424
2020,3,155711408
2020,4,156626514
2020,4,156626517
2020,4,156626047
2020,4,156626050
2020,4,156626065
2020,4,156626071
2020,1,156626524
2020,4,156626081
2020,4,156626085
2020,4,156626531
2020,4,156626126
2020,4,156626131
2020,4,156626590
2020,4,156626622
2020,4,156626629
2020,4,156631320
2020,4,156626709
2020,4,156631379
2020,4,156631446
2020,1,156631492
2020,3,156631508
2020,4,156631549
2020,4,156626838
2020,4,156631579
2020,4,156626857
2020,4,156626853
2020,4,156631614
2020,4,156631620
2020,4,156626910
2020,4,156626919
2020,3,156631724
2020,4,156626951
2020,4,156631740
2020,4,156631744
2020,4,156626976
2020,4,156631757
2020,4,156626977
2020,4,156631803
2020,4,156627071
2020,4,156627100
2020,4,156631908
2020,4,156631914
2020,4,156631915
2020,4,156631941
2020,4,156627157
2020,4,156631952
2020,4,146898474
2020,4,146894273
2020,4,146885226
2020,4,146894281
2020,4,146894294
2020,4,146894297
2020,4,146898568
2020,4,146894302
2020,4,146898480
2020,4,146894162
2020,4,146885196
2020,4,146894331
2020,4,146898526
2020,4,146894227
2020,4,146894233
2020,4,146894241
2020,4,146894245
2020,4,146885219
2020,4,146894270
2020,4,148297857
2020,4,148298142
2020,4,148298168
2020,4,148298172
2020,4,148301564
2020,4,148298235
2020,4,148298253
2020,4,148301604
2020,4,148298301
2020,4,148287840
2020,4,148298323
2020,4,148298329
2020,4,148287851
2020,4,148301667
2020,4,148298338
2020,4,148287878
2020,4,148298380
2020,4,148298383
2020,4,148287900
2020,4,148298389
2020,4,148298393
2020,4,148287906
2020,4,148298412
2020,4,148298421
2020,4,148297734
2020,4,148301366
2020,4,148297859
2020,4,148298133
2020,4,148287734
2020,4,148287747
2020,4,148298214
2020,4,148301567
2020,3,148298242
2020,1,148298242
2020,4,162288195
2020,4,162285208
2020,4,162285305
2020,4,162288374
2020,4,162285384
2020,4,162285387
2020,4,162285408
2020,4,162285407
2020,4,162287368
2020,4,162287460
2020,4,162284566
2020,4,162284572
2020,4,162284582
2020,4,162284593
2020,4,162287555
2020,4,162287766
2020,4,162284794
2020,4,162287790
2020,4,162287810
2020,4,162287895
2020,4,162288051
2020,1,162288155
2020,4,162288177
2020,4,162285219
2020,4,162285462
2020,4,162285475
2020,4,162285199
2020,4,162285309
2020,4,149221600
2020,4,149221608
2020,4,149221609
2020,3,149221632
2020,4,149217072
2020,1,145089294
2020,1,145089293
2020,1,145089292
2020,4,145083255
2020,4,145080274
2020,4,145083331
2020,4,145083330
2020,4,145083365
2020,4,145083399
2020,4,150621630
2020,4,155704142
2020,4,155704363
2020,4,155704377
2020,4,155698413
2020,4,155698420
2020,4,155704404
2020,2,155704379
2020,4,155698426
2020,1,155704429
2020,4,155698446
2020,4,155698448
2020,4,155698457
2020,4,155704453
2020,4,155698473
2020,4,155704461
2020,4,155698476
2020,4,155704463
2020,3,155704476
2020,4,155704477
2020,4,155704486
2020,4,155704484
2020,4,155704496
2020,4,155704504
2020,4,155704510
2020,4,155704532
2020,4,155698558
2020,4,155704623
2020,4,155698600
2020,4,155698603
2020,4,155698619
2020,4,155704665
2020,4,155698638
2020,3,155698659
2020,4,155698673
2020,4,155704748
2020,4,155704774
2020,4,155704799
2020,4,155704821
2020,4,155704823
2020,4,155704830
2020,4,155704831
2020,4,155704832
2020,4,155704833
2020,4,155704834
2020,4,155704835
2020,4,155704836
2020,4,155704837
2020,4,155704838
2020,4,155704839
2020,4,155704840
2020,4,155704841
2020,4,155704842
2020,4,155704843
2020,4,149221607
2020,4,149221679
2020,4,149221721
2020,4,149221726
2020,3,149221728
2020,3,149221758
2020,4,149221763
2020,4,149221800
2020,4,149221829
2020,4,149221834
2020,1,149221847
2020,4,149217274
2020,4,149221865
2020,4,149217300
2020,4,149217318
2020,4,149221884
2020,4,149221887
2020,4,149217342
2020,4,149221898
2020,4,149221903
2020,4,149221905
2020,3,149217363
2020,3,149221918
2020,4,149221927
2020,4,149221938
2020,4,149221955
2020,4,149221959
2020,4,149221965
2020,1,149221985
2020,4,149221999
2020,4,155696861
2020,4,149217006
2020,1,149221559
2020,3,149221565
2020,4,149221567
2020,4,149221611
2020,4,149221612
2020,4,149221641
2020,4,149221642
2020,4,149221670
2020,4,149221671
2020,4,149221677
2020,4,149221683
2020,4,149217150
2020,4,149217157
2020,4,145121883
2020,4,145114720
2020,4,145114958
2020,4,145114972
2020,4,145115026
2020,4,145115024
2020,4,145117118
2020,4,145122020
2020,4,145083224
2020,4,145089304
2020,4,145089309
2020,1,145083233
2020,4,145089471
2020,1,145083401
2020,4,145083433
2020,3,145083434
2020,4,145114766
2020,4,145114917
2020,3,145114933
2020,1,145114933
2020,3,145114932
2020,1,145114932
2020,4,145122160
2020,4,145122163
2020,4,145115035
2020,4,145122220
2020,4,145115049
2020,4,145122260
2020,4,145115081
2020,4,145115086
2020,4,145115093
2020,4,145114833
2020,4,145114890
2020,4,145122143
2020,4,145114974
2020,4,145114984
2020,4,145114986
2020,4,145115054
2020,4,145115057
2020,4,145115070
2020,4,145115099
2020,4,149221506
2020,4,149221534
2020,3,149221630
2020,4,149221657
2020,4,149221660
2020,4,149221662
2020,4,149221676
2020,4,149217125
2020,4,149217151
