"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2020,134939368,133552017,7,,
2020,134939372,133552025,7,,
2020,134939813,133552097,7,,
2020,134944620,133557451,7,,
2020,134939934,133557468,7,,
2020,134944667,133557506,7,,
2020,134944707,133552298,7,,
2020,134944788,133557641,7,,
2020,134944878,133557745,5,,
2020,134940117,133557745,7,,
2020,134944939,133552509,1,,
2020,134940204,133557845,7,,
2020,134945030,133557924,6,,
2020,133947953,132435410,4,,
2020,133951119,132435416,7,,
2020,133947778,132435231,5,,
2020,133950985,132435231,4,,
2020,133947426,132437156,4,,
2020,133947400,132434805,7,,
2020,133950582,132434824,7,,
2020,133947491,132434914,7,1,
2020,133950644,132434914,5,,1
2020,133950988,132435231,7,,
2020,134939850,133557292,7,,
2020,134939521,133552164,7,,
2020,134939574,133552196,4,,
2020,134944631,133557469,1,,
2020,134939962,133552258,7,,
2020,134944790,133552376,7,,
2020,134944809,133552391,7,,
2020,134940096,133552420,7,,
2020,134940100,133552422,4,,
2020,134940099,133552422,7,,
2020,134944857,133557726,7,,
2020,134944881,133557747,7,,
2020,130881777,128963480,4,,
2020,130881796,128968631,6,,
2020,130881822,128968654,1,,
2020,130884816,128962242,7,,
2020,134939294,133557092,4,,
2020,134939295,133557094,4,,
2020,134939296,133557094,7,,
2020,134939689,133551954,7,,
2020,134939872,133557321,7,,
2020,134944610,133552219,7,,
2020,134939960,133552254,7,,
2020,134940009,133552317,4,,
2020,134940006,133557581,7,,
2020,134944745,133552330,4,,
2020,134944754,133557598,7,,
2020,134940051,133557613,7,,
2020,134940048,133552363,7,,
2020,134940054,133552365,4,,
2020,134944791,133557643,4,,
2020,134944808,133552388,7,,
2020,134944815,133552393,7,,
2020,130885945,128968696,4,,
2020,130886022,128968792,7,,
2020,130886071,128963690,7,,
2020,130882019,128968883,1,,
2020,130882043,128968908,7,,
2020,129869166,127829764,4,,
2020,129869178,127829774,7,,
2020,129872339,127824302,6,,
2020,130886672,128977141,6,,
2020,130889681,128977151,6,,
2020,129869044,127829624,1,,
2020,129869133,127829721,4,,
2020,129869151,127829743,3,,
2020,129872340,127824303,5,,
2020,129869182,127824303,7,,
2020,129869279,127829901,7,,
2020,129872393,127824374,7,,
2020,129869216,127829829,4,,
2020,129869230,127829842,6,,
2020,129869246,127829859,7,,
2020,129869277,127829898,7,,
2020,129197302,126996214,7,,
2020,129197327,126996243,4,,
2020,129201022,126996270,7,1,
2020,129869273,127829897,7,,
2020,129869416,127830037,7,,
2020,129869058,127829641,7,,
2020,129869142,127829727,1,,
2020,129869443,127830070,6,,
2020,129869462,127830087,7,,
2020,129872456,127830096,7,,
2020,129872474,127824486,7,,
2020,129872481,127830124,7,,
2020,129869507,127830133,6,,
2020,129873214,127830640,1,,
2020,129874925,127830661,7,,
2020,134940079,133557683,7,1,
2020,134940088,133552409,4,,
2020,134940092,133552414,4,,
2020,134940108,133552439,4,,
2020,134944864,133552442,7,,
2020,134944902,133552469,7,,
2020,134940157,133557808,7,,
2020,134944933,133552503,7,1,
2020,134944936,133552503,5,,1
2020,134940171,133552510,4,,
2020,134944951,133552525,7,,
2020,134944950,133552524,7,,
2020,134944958,133552533,7,,
2020,134944965,133552542,7,,
2020,134940221,133557871,6,,
2020,134940223,133552562,6,,
2020,134944992,133557881,7,,
2020,134944996,133552570,6,,
2020,134940248,133557913,5,,1
2020,134940252,133557913,7,1,
2020,134940257,133552605,6,,
2020,129872294,127829666,7,,
2020,129869110,127829696,5,,
2020,129869109,127829696,7,,
2020,129869112,127829698,7,,
2020,129872355,127829814,7,,
2020,129869284,127829906,4,,
2020,129869322,127824397,4,,
2020,129869341,127824405,7,,
2020,129872414,127824405,5,,
2020,129869461,127830084,4,,
2020,129872465,127830110,7,,
2020,129874917,127830653,7,,
2020,129874937,127825433,7,,
2020,129869106,127829691,7,,
2020,129869115,127824242,7,,
2020,129869135,127824256,1,,
2020,129869353,127829967,4,,
2020,129869356,127829970,1,,
2020,129869378,127829998,1,,
2020,129869391,127830010,4,,
2020,129869395,127830015,6,,
2020,129872440,127830056,1,,
2020,131584587,129794495,6,,
2020,131581476,129796114,7,,
2020,131581472,129794501,7,,
2020,131581480,129794506,7,,
2020,131581484,129796118,7,,
2020,131581566,129794619,1,,
2020,131581591,129794652,7,,
2020,131581813,129794892,7,,
2020,131581470,129794492,7,,
2020,130880504,128967233,7,,
2020,131584717,129794713,7,,
2020,131584870,129796457,7,,
2020,130881594,128963329,1,,
2020,131581489,129794517,7,,
2020,131581492,129794522,7,,
2020,131581493,129796122,7,,
2020,131584602,129794526,7,,
2020,131584603,129796126,7,,
2020,131584604,129794528,7,,
2020,131581496,129794529,7,,
2020,131581498,129796128,7,,
2020,131584606,129796127,7,,
2020,131581501,129794535,7,,
2020,131584610,129794540,7,,
2020,131584613,129794541,4,,
2020,131581508,129794542,6,,
2020,130882028,128963759,6,,
2020,131581512,129794544,3,,
2020,131581516,129794552,3,,
2020,131584619,129794553,3,,
2020,131584622,129794560,7,,
2020,131584625,129796144,7,,
2020,131584627,129796147,4,,
2020,131581529,129796148,4,,
2020,131581526,129794564,7,,
2020,131581528,129794567,7,,
2020,131581527,129794566,4,,
2020,131584632,129796153,7,,
2020,131584634,129794570,7,,
2020,131584635,129796154,7,,
2020,131581533,129794573,7,,
2020,131581536,129796157,4,,
2020,131581538,129796162,7,,
2020,131581537,129796161,7,,
2020,131584642,129794577,4,,
2020,131584643,129794579,7,,
2020,131584647,129794583,4,,
2020,131581546,129794588,7,,
2020,131584652,129794597,1,,
2020,131584651,129794598,7,,
2020,131581553,129794602,7,,
2020,131581557,129794605,7,,
2020,131584660,129794614,7,,
2020,131581564,129796187,4,,
2020,131581562,129794613,7,,
2020,131581565,129794623,4,,
2020,131581570,129794625,7,,
2020,131581575,129794635,7,,
2020,131581576,129794638,4,,
2020,131581578,129796198,7,,
2020,131581584,129794643,7,,
2020,131581587,129796207,4,,
2020,131584684,129796216,7,,
2020,131581598,129796218,6,,
2020,131581603,129796222,7,,
2020,131581601,129794657,4,,
2020,134939343,133551998,4,,
2020,134939763,133552043,7,,
2020,134939855,133552140,5,,
2020,134939858,133552140,7,,
2020,134939516,133557339,5,,
2020,134939517,133557339,7,,
2020,134939992,133552303,7,,
2020,134944725,133552312,4,,
2020,134940042,133557606,5,,
2020,134940039,133557606,7,,
2020,134944810,133557668,4,,
2020,134940119,133552452,7,,
2020,134944887,133557755,7,,
2020,134940144,133552484,6,,
2020,130885827,128968534,7,,
2020,130881721,128968554,7,,
2020,130881853,128963541,7,,
2020,130886019,128968789,7,,
2020,130886028,128968794,7,,
2020,130881956,128963659,4,,
2020,129869088,127829670,7,,
2020,129872300,127824240,4,,
2020,129869122,127829706,4,,
2020,129872309,127824251,7,,
2020,129872324,127829760,7,,
2020,129869227,127829841,7,,
2020,129869238,127829851,4,,
2020,129869254,127824347,7,,
2020,129872379,127829884,7,,
2020,129872383,127829888,7,,
2020,129869271,127824362,4,,
2020,129872392,127829904,7,,
2020,129872457,127830097,7,,
2020,129869484,127830105,4,,
2020,129874932,127830672,4,,
