"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,32283669,1,32325124
2019,32299150,7,32325131
2019,32299158,1,32321593
2019,32303729,1,32325182
2019,32303746,1,32325201
2019,32299219,1,32325255
2019,32297648,1,32321687
2019,32303988,1,32325448
2019,32297929,1,32321967
2019,32298026,1,32325572
2019,33449692,1,33485746
2019,33454553,1,33476629
2019,33454552,1,33485748
2019,33449696,1,33480899
2019,33440355,1,33480898
2019,33449698,1,33480902
2019,33440356,1,33476632
2019,33454570,1,33480914
2019,33449709,1,33480915
2019,33454578,1,33485769
2019,33454579,1,33485770
2019,33454584,1,33485775
2019,33440371,1,33476647
2019,33454587,1,33485779
2019,33454589,1,33480927
2019,33454593,1,33480931
2019,33449730,1,33480940
2019,33440378,1,33480945
2019,33449736,1,33480948
2019,33454613,1,33485805
2019,33454618,1,33485813
2019,33454620,1,33485815
2019,33454622,1,33485817
2019,33454625,1,33485818
2019,33454621,1,33485816
2019,33454624,1,33476658
2019,33449755,1,33476659
2019,33454635,1,33485828
2019,33454636,1,33485829
2019,36273725,1,36417203
2019,36273726,1,36417204
2019,36273722,1,36417199
2019,36277063,1,36422337
2019,36277065,1,36422339
2019,36277076,1,36422349
2019,36273743,1,36417221
2019,36273745,1,36417223
2019,36273747,1,36417225
2019,36277084,1,36422357
2019,36273753,1,36417232
2019,36262308,1,36422371
2019,36277099,1,36422372
2019,36273759,1,36417238
2019,36262310,1,36417240
2019,36277105,1,36422376
2019,36277107,1,36422378
2019,36277115,1,36417252
2019,36273769,1,36417253
2019,36273772,1,36417256
2019,36277131,1,36422399
2019,36262322,1,36408997
2019,36273792,1,36422401
2019,36262325,1,36408999
2019,36262324,1,36408998
2019,36273799,1,36417279
2019,36273796,1,36417276
2019,36273798,1,36417278
2019,36277144,1,36422413
2019,36273806,1,36417284
2019,36273805,1,36417283
2019,36273810,1,36422416
2019,36273812,1,36417288
2019,36273822,1,36422423
2019,36277150,1,36422427
2019,36273825,1,36417298
2019,36273834,1,36417306
2019,36262344,1,36409016
2019,36273835,1,36417307
2019,36277173,1,36422454
2019,36273854,1,36417326
2019,36273853,1,36417325
2019,36273857,1,36417329
2019,36273875,1,36417348
2019,36277195,1,36422475
2019,36273879,1,36417351
2019,36262365,1,36409037
