"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,129431614,4
2019,129438647,4
2019,129438378,4
2019,129431736,5
2019,130302025,4
2019,130301992,5
2019,129438330,8
2019,129438333,5
2019,129438334,5
2019,129431595,4
2019,129427513,4
2019,129438416,4
2019,129438479,2
2019,129438533,5
2019,130328014,3
2019,130301995,4
2019,130325727,4
2019,129425267,4
2019,129417213,5
2019,129425314,5
2019,130317744,4
2019,130325672,5
2019,130301815,6
2019,130317389,4
2019,130301834,4
2019,130325306,4
2019,130301844,4
2019,130301919,4
2019,130317692,2
2019,130317789,4
2019,134512944,4
2019,134513194,5
2019,134518805,5
2019,130325252,4
2019,130325253,4
2019,130325757,5
2019,130301883,4
2019,130325453,4
2019,130325564,5
2019,130302053,5
2019,130327968,5
2019,130317762,5
2019,130301872,4
2019,130317792,4
2019,130317793,4
2019,130325579,4
2019,130302074,5
2019,130302087,4
2019,129421788,4
2019,129425225,4
2019,129425233,4
2019,129425320,4
2019,129425407,4
2019,129422017,5
2019,129431617,5
2019,129438589,4
2019,129431714,5
2019,129427647,4
2019,129427751,4
2019,129427788,2
2019,130302091,5
2019,130302017,5
2019,130328056,4
2019,130302092,5
2019,130302107,4
2019,130302122,5
2019,130302138,5
2019,130328163,5
2019,130302144,4
2019,130301877,5
2019,130301912,5
2019,128262716,5
2019,128263826,5
2019,128263842,4
2019,128255589,5
2019,128263835,4
2019,128267987,4
2019,128268629,4
2019,128268627,4
2019,128268716,5
2019,128264156,5
2019,128268718,5
2019,128268722,5
2019,128255701,5
2019,128268721,5
2019,128264155,5
2019,128268714,5
2019,128268750,5
2019,128268967,4
2019,128264204,4
2019,128269089,4
2019,128269132,6
2019,128269178,5
2019,128263849,5
2019,128263856,5
2019,128262818,4
2019,128263925,5
2019,128263855,4
2019,128268161,5
2019,128263969,4
2019,128268025,4
2019,128255617,4
2019,128268226,4
2019,128268309,5
2019,128264101,4
2019,128268399,4
2019,128264066,4
2019,128264072,4
2019,128264073,4
2019,128268467,4
2019,128264042,4
2019,128268533,4
2019,128268534,4
2019,128268572,4
2019,128268891,4
2019,128264213,5
2019,128269159,4
2019,128269180,4
2019,128269321,4
2019,128255655,4
2019,128264045,4
2019,128264138,4
2019,128269221,4
2019,128269361,5
2019,128268612,5
2019,128268733,4
2019,128268805,2
2019,128268827,4
2019,128268840,4
2019,128268986,5
2019,128269117,4
2019,128269173,4
2019,128269174,4
2019,128264276,4
2019,131287731,5
2019,131287825,5
2019,131287868,4
2019,131296403,4
2019,131299727,5
2019,131299726,5
2019,131287884,5
2019,131287900,3
2019,131287901,3
2019,131302914,4
2019,129425326,4
2019,129425335,4
2019,129417273,5
2019,129425450,5
2019,129417282,5
2019,129425457,4
2019,129425499,4
2019,129425498,4
2019,129417294,4
2019,129425541,4
2019,129417333,4
2019,129417334,4
2019,129417371,5
2019,129417377,6
2019,129417400,4
2019,129431682,4
2019,129431678,4
2019,129431727,4
2019,129438638,4
2019,129438703,4
2019,129438710,4
2019,129438711,4
2019,129438713,4
2019,129427733,4
2019,129427803,4
2019,129431708,1
2019,129427500,5
2019,129438453,4
2019,129431686,4
2019,129438693,4
2019,129431791,4
2019,129438436,4
2019,129427654,4
2019,129431735,4
2019,129438651,5
2019,129431763,4
2019,129438719,4
2019,129427772,4
2019,129427794,4
2019,129417088,5
2019,129431663,5
2019,129431671,4
2019,129438555,5
2019,129438571,4
2019,129438588,4
2019,129427649,5
2019,129438630,5
2019,129427651,5
2019,129438724,5
2019,129431833,4
2019,129431865,4
2019,129427840,4
2019,128267931,4
2019,128267950,4
2019,128268021,5
2019,128268107,5
2019,128255654,4
2019,128268251,5
2019,128268252,5
2019,128264085,4
2019,129438335,4
2019,129438432,4
2019,129427623,5
2019,129438627,4
2019,129431858,5
2019,129431861,4
2019,129431866,4
2019,129431897,2
2019,129431898,4
2019,129417139,4
2019,129425223,5
2019,129417140,5
2019,129431604,4
2019,129427555,2
2019,129438463,2
2019,129431658,4
2019,129438631,5
2019,129427722,4
2019,129438495,5
2019,129427586,4
2019,129438556,2
2019,129431810,5
2019,129438729,5
2019,129427747,5
2019,129427750,5
2019,129431826,4
2019,129431825,4
2019,131287735,4
2019,131287805,4
2019,128268273,4
2019,128269598,4
2019,128262839,5
2019,128269430,4
2019,128268055,4
2019,128268125,5
2019,128268544,4
2019,128268768,3
2019,129431597,5
2019,129427782,4
2019,129427813,4
2019,129438784,4
2019,129438783,4
2019,129427835,4
2019,128268034,4
2019,128268111,4
2019,128268484,4
2019,128268284,4
2019,128268442,5
2019,128268470,5
2019,131328505,5
2019,131322396,4
2019,128268128,5
2019,128268680,5
2019,128264154,6
2019,128268956,5
2019,128269342,5
2019,128264194,6
2019,128269378,2
2019,131325440,5
2019,131322536,5
2019,128268410,4
2019,128268410,2
2019,128268832,4
2019,128268852,4
2019,128268856,4
2019,128268855,4
2019,128268945,4
2019,128269014,5
2019,128269042,3
2019,128269182,4
2019,128269279,4
2019,128264259,4
2019,129421834,4
2019,129425298,4
2019,129425296,4
2019,129417314,3
2019,129425585,5
2019,129425607,5
2019,129425606,2
2019,131325498,5
2019,131322533,4
2019,131322604,4
2019,131322692,4
2019,131299525,1
2019,131299781,4
2019,131322344,4
2019,131322378,4
2019,131322340,5
2019,131322479,5
2019,131296318,5
2019,131299572,5
2019,131299603,7
2019,131299665,4
2019,131299687,4
2019,131299695,5
2019,131299694,5
2019,131322511,4
2019,131322592,4
2019,129425213,4
2019,129425414,5
2019,129425509,5
2019,129425594,7
2019,129422005,6
2019,129422007,4
2019,129422008,5
2019,129425637,3
2019,129425673,5
2019,129425674,2
2019,129425684,4
2019,129425685,4
2019,131322708,5
2019,131299531,4
2019,131299745,4
2019,131322402,5
2019,131322624,5
2019,131299660,5
2019,131322385,4
2019,131322689,4
2019,131299585,4
2019,131299591,5
2019,131287788,5
2019,131322449,5
2019,131322448,5
2019,131299545,1
2019,131287786,5
2019,131299583,5
2019,131287791,4
2019,131299630,5
2019,131299629,5
2019,131299631,5
2019,131299632,5
2019,131299708,5
2019,131299762,5
2019,131322401,5
2019,131322679,4
2019,131322361,5
2019,131322383,4
2019,131299608,1
2019,131296355,5
2019,131287828,5
2019,131299710,5
2019,131322539,4
2019,131322600,4
2019,131325774,4
2019,131322684,5
2019,131299696,6
2019,131299769,5
2019,131328535,4
2019,131322484,5
2019,131322573,4
2019,129425340,5
2019,129421881,5
2019,129417270,4
2019,129421920,4
2019,129417296,5
2019,129425530,4
2019,129421948,4
2019,129425687,4
2019,129417430,4
2019,129425701,4
2019,129425703,4
2019,129425704,4
2019,129425718,5
2019,129425719,5
2019,129425720,4
2019,129425725,4
2019,129425726,5
2019,129425736,5
2019,129425746,5
2019,129425748,4
2019,129425750,5
2019,131299569,2
2019,131287795,4
2019,131322461,5
2019,131287722,5
2019,131299533,5
2019,131299518,5
2019,131322423,4
2019,131322493,4
2019,131325578,5
2019,130325686,5
2019,130325765,4
2019,130328084,6
2019,131296322,4
2019,130328028,4
2019,130328027,4
2019,130317900,4
2019,130328065,5
2019,130328072,5
2019,130328073,5
2019,130328077,4
2019,130328101,3
2019,130328102,4
2019,130317734,4
2019,130317796,5
2019,130317725,4
2019,131299609,4
2019,131299744,4
2019,134513439,4
2019,130325193,4
2019,130317396,4
2019,130317401,5
2019,130317733,5
2019,130317888,4
2019,130327916,4
2019,130302039,1
2019,130328080,4
2019,130302105,4
