"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,137376140
2019,21,137370847
2019,21,137376156
2019,21,137370890
2019,21,137370905
2019,21,137370931
2019,21,137370942
2019,21,137376244
2019,21,137376247
2019,21,137370974
2019,21,137370997
2019,21,137371009
2019,21,137376266
2019,21,137371042
2019,21,137371055
2019,21,137371060
2019,21,137376280
2019,21,137371069
2019,21,137371093
2019,21,137371106
2019,21,137371120
2019,21,137371126
2019,22,137376297
2019,21,137376311
2019,21,137376350
2019,21,137376357
2019,21,137376374
2019,21,137381211
2019,21,137376441
2019,21,137376460
2019,21,137376479
2019,21,137376620
2019,21,137376663
2019,21,137381430
2019,21,137381559
2019,21,137381589
2019,21,137376861
2019,21,137376920
2019,21,137381673
2019,21,137377002
2019,21,137377041
2019,21,137381776
2019,22,137381803
2019,21,137377125
2019,21,137377131
2019,21,137381835
2019,21,137381839
2019,21,137377155
2019,21,137381900
2019,21,137381917
2019,21,137381919
2019,21,137381921
2019,21,137377252
2019,21,142131615
2019,21,142136327
2019,21,142050691
2019,21,142131703
2019,21,142136473
2019,21,142136567
2019,21,142136764
2019,21,142131848
2019,21,142137183
2019,21,142131954
2019,21,142050816
2019,21,142137237
2019,21,142137292
2019,21,142050821
2019,21,142137356
2019,21,142137402
2019,21,142137408
2019,21,142131977
2019,21,142137428
2019,21,142137443
2019,21,142137453
2019,21,142137462
2019,21,142137468
2019,21,142131983
2019,21,142137480
2019,21,142137483
2019,21,142137531
2019,21,142137591
2019,21,142137592
2019,21,142137609
2019,21,142137628
2019,21,142137892
2019,21,137381977
2019,21,137381987
2019,21,137381988
2019,21,137377283
2019,21,142136303
2019,21,142136366
2019,21,142131656
2019,21,142136529
2019,21,142136602
2019,21,142136616
2019,21,142131845
2019,21,142136803
2019,21,142136866
2019,21,142136923
2019,21,142136935
2019,21,142136937
2019,21,142136948
2019,21,142136953
2019,21,142136958
2019,21,142136978
2019,21,142136977
2019,21,142137001
2019,21,142137022
2019,21,142131907
2019,21,142131908
2019,21,142137043
2019,21,142137072
2019,21,142137145
2019,21,142137244
2019,21,142137254
2019,21,142137259
2019,21,142137265
2019,21,142137269
2019,21,142137393
2019,21,142137459
2019,21,142137469
2019,21,142137472
2019,21,142137479
2019,21,142137485
2019,21,142137504
2019,21,142137530
2019,21,142137548
2019,21,142137572
2019,21,142137615
2019,21,142137660
2019,21,142132012
2019,22,142137709
2019,21,142137711
2019,21,142137741
2019,21,142137773
2019,21,142137800
2019,21,142137806
2019,21,142132043
2019,22,142137881
2019,21,142137883
2019,21,142132048
2019,21,142132050
2019,21,142132052
2019,21,142137913
2019,21,142050843
2019,21,142137934
2019,21,142136256
2019,21,142136260
2019,21,142136262
2019,21,142136287
2019,21,142136301
2019,21,142136310
2019,21,142131613
2019,21,142136312
2019,21,142136472
2019,21,142050696
2019,21,142131737
2019,21,142136570
2019,21,142131744
2019,21,142136635
2019,21,142136641
2019,21,142136695
2019,21,142136698
2019,21,142136794
2019,21,142136891
2019,22,142136904
2019,22,142136906
2019,21,142137019
2019,21,142137135
2019,21,142137163
2019,21,142137246
2019,21,142137252
2019,21,142137277
2019,21,142137296
2019,21,142137308
2019,21,142137315
2019,21,142137374
2019,21,142137381
2019,21,142137396
2019,21,142137419
2019,21,142137524
2019,21,142137550
2019,21,142137555
2019,21,142137583
2019,21,142137585
2019,21,142137600
2019,21,142137621
2019,21,142137633
2019,22,142137645
2019,21,142137667
2019,22,142137683
2019,21,142137907
2019,21,142137917
2019,21,142136316
2019,21,142136323
2019,21,142131640
2019,21,142136460
2019,21,142136465
2019,21,142137134
2019,21,142137446
2019,21,142137559
2019,21,142137571
2019,21,142137576
2019,21,142137588
2019,21,142137632
2019,22,142137672
2019,21,142137704
2019,21,142137731
2019,21,142137764
2019,21,142137796
2019,21,142137820
2019,21,142137834
2019,21,142137856
2019,21,142137871
2019,21,142137872
2019,22,142137876
2019,21,142137880
2019,21,142137944
2019,21,142137948
2019,21,142137957
2019,21,142137970
2019,21,142137975
2019,21,142137990
2019,21,142137993
2019,21,142138001
2019,21,142136251
2019,21,142136250
2019,21,142136255
2019,21,142136273
2019,21,142136285
2019,21,142050665
2019,21,142136297
2019,21,142136298
2019,21,142136299
2019,21,142136300
2019,21,142136304
2019,21,142131619
2019,21,142136365
2019,21,142136373
2019,21,142136388
2019,21,142131649
2019,21,142131657
2019,21,142131662
2019,21,142136414
2019,21,142136441
2019,21,142050693
2019,21,142136476
2019,21,142050698
2019,21,142131718
2019,21,142131738
2019,21,142136662
2019,21,142131758
2019,21,142050770
2019,21,142136701
2019,21,142131778
2019,21,142136743
2019,21,142136768
2019,21,142050798
2019,21,142131931
2019,21,142050811
2019,21,142137109
2019,21,142137122
2019,22,142137141
2019,21,142137148
2019,22,142131951
2019,22,142137182
2019,21,142137198
2019,21,142137201
2019,21,142137266
2019,21,142137285
2019,21,142137293
2019,21,142137300
2019,21,142137312
2019,21,142137337
2019,21,142050823
2019,21,142137351
2019,21,142131969
2019,21,142137416
2019,21,142137427
2019,21,142137493
2019,21,142050829
2019,21,142131991
2019,21,142131996
2019,21,142137560
2019,21,142137557
2019,21,142137566
2019,21,142137574
2019,21,142132001
2019,21,142137603
2019,21,142137642
2019,21,142136470
2019,21,142136539
2019,21,142136587
2019,21,142136624
2019,21,142136628
2019,21,142136636
2019,21,142136646
2019,21,142136647
2019,21,142136658
2019,21,142136811
2019,22,142136871
2019,21,142136901
2019,21,142137160
2019,21,142137339
2019,22,142137341
2019,21,142131968
2019,21,142131971
2019,21,142137666
2019,21,142137784
2019,21,142137786
2019,21,142137789
2019,21,142137790
2019,21,142137889
2019,21,142137890
2019,21,137377293
2019,21,137377309
