"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,130325628,1,
2019,130325629,1,
2019,125168528,1,
2019,125178129,6,
2019,125178128,6,
2019,125168743,2,
2019,130325780,1,
2019,125178010,1,
2019,125173037,1,
2019,125168622,1,
2019,125173486,1,
2019,125173221,6,
2019,125178032,6,
2019,125173364,9,
2019,130325663,6,
2019,128268210,1,
2019,128268236,6,
2019,135408315,3,
2019,125178075,1,
2019,135404860,1,
2019,135404691,9,
2019,135405092,9,
2019,130325244,1,
2019,130325421,1,
2019,127212389,1,
2019,127233010,1,
2019,134508018,6,
2019,128268542,6,
2019,128263930,1,
2019,128268232,1,
2019,128264146,1,
2019,128268104,1,
2019,128262706,6,
2019,128268085,1,
2019,134508143,6,
2019,128268057,3,
2019,128268743,1,
2019,128262756,6,
2019,128262815,9,
2019,128268375,1,
2019,128268396,9,
2019,128268793,1,
2019,128268554,1,
2019,128268316,1,
2019,128269269,1,
2019,125168631,1,
2019,125173412,1,
2019,128268034,6,
2019,128268194,9,
2019,128268504,9,
2019,125173208,9,
2019,125178393,1,
2019,128268442,2,
2019,128269165,3,
2019,125169012,1,
2019,125178196,3,
2019,125168741,1,
2019,125173259,10,
2019,125168987,1,
2019,128268684,1,
2019,128268769,1,
2019,128268767,1,
2019,128268535,1,
2019,128268539,1,
2019,128268768,1,
2019,128268846,1,
2019,128268969,1,
2019,128264194,1,
2019,128269378,1,
2019,127233232,1,
2019,125168788,1,
2019,127212606,1,
2019,127226437,1,
2019,127212605,1,
2019,128268982,1,
2019,128269020,9,
2019,128269023,9,
2019,128268607,9,
2019,128268662,1,
2019,125169046,9,
2019,128268945,1,
2019,128268410,6,
2019,128269042,1,
2019,127226271,1,
2019,128268787,1,
2019,128269440,1,
2019,129421964,1,
2019,129425430,1,
2019,127226239,10,
2019,133074842,1,
2019,127212599,1,
2019,127228538,1,
2019,127227010,1,
2019,127227009,1,
2019,128268392,8,
2019,128268884,1,
2019,129438499,1,
2019,129438506,1,
2019,129425151,1,
2019,129438642,1,
2019,127226247,1,
2019,127226599,1,
2019,127212392,1,
2019,129425331,6,
2019,127226745,6,
2019,127226356,1,
2019,127226355,1,
2019,128268377,1,
2019,128268686,1,
2019,128268991,1,
2019,128269024,17,
2019,128269341,1,
2019,128264258,1,
2019,127226835,1,
2019,127226614,1,
2019,127226993,1,
