"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,126000180,38,2100,,139911058
2019,126000198,19,704,23-JAN-19,139911076
2019,126000238,10,,,139911123
2019,126005004,20,150,,139917875
2019,121145483,4,479,27-OCT-19,133674203
2019,121145472,31,200,,133666279
2019,121145484,4,479,,133666293
2019,121150109,20,1,,133670497
2019,121150113,63,21,,133670502
2019,121145497,38,2500,,133674242
2019,121144163,30,500,,133674256
2019,121144168,36,6004,,133666318
2019,121144168,42,2343,,133666319
2019,121150130,50,22,,133670522
2019,121145513,36,3860,,133670526
2019,121145521,36,10000,,133674274
2019,121144227,3,2000,,133674334
2019,121150169,20,5500,,133674344
2019,121144255,63,30,,133666412
2019,121145597,38,25,,133666416
2019,121144260,21,1,,133670587
2019,121144267,21,1,,133666423
2019,121150189,46,450,,133670591
2019,121144294,19,99,,133674405
2019,121145761,63,100,,133666587
2019,121144554,19,299,31-OCT-19,133670741
2019,121144555,19,299,,133674732
2019,121150329,19,8,,133670742
2019,121144563,38,800,,133674740
2019,121150333,50,15,,133670747
2019,121150335,63,400,,133670748
2019,117115112,20,90,,128110934
2019,117119801,20,120,,128115467
2019,117111557,42,1000,,128119422
2019,117115192,63,250,,128119487
2019,117115192,25,1000,,128115527
2019,117115200,61,500,03-JUL-19,128111064
2019,117111623,20,800,,128115542
2019,117111623,61,500,,128119501
2019,117115232,38,1540,,128111098
2019,117119889,38,3,,128115570
2019,117119889,20,1,,128115569
2019,117119889,63,3,,128115571
2019,117119895,47,0,,128115577
2019,117119900,50,32,09-AUG-19,128111129
2019,117119902,50,32,,128111132
2019,117119910,16,1,,128115592
2019,117119917,8,3,,128111159
2019,117119917,25,1,,128115598
2019,117115284,7,30,,128111169
2019,117119928,16,1,,128115610
2019,117119933,3,8000,,128115618
2019,117115297,3,500,,128111185
2019,117119946,7,1200,,128115633
2019,122565667,10,,,135575651
2019,122565675,33,889,,135575659
2019,122569784,10,,,135582343
2019,122569786,6,89,,135582347
2019,122563616,61,150,,135582351
2019,122563619,63,34,,135577741
2019,122565688,19,49,,135575675
2019,122565690,2,7,,135577747
2019,122565691,38,250,,135575677
2019,122565693,20,120,,135577753
2019,122565693,2,200,,135577752
2019,122563630,2,40,,135577756
2019,122565698,10,,,135575682
2019,122565701,61,400,,135575686
2019,122565701,6,60,,135575685
2019,122565706,8,48,,135575690
2019,122563646,25,250,30-DEC-19,135577773
2019,122563647,25,250,,135577775
2019,122563647,47,0,,135577776
2019,122563646,47,0,30-DEC-19,135577774
2019,122565708,9,0,,135575692
2019,122565711,7,25,,135575695
2019,122565713,20,1600,,135575697
2019,122565716,20,100,,135575700
2019,122565717,10,700,,135575702
2019,122565717,6,60,,135575701
2019,122565720,8,30,,135575705
2019,122565721,19,27,,135575706
2019,122565724,19,6,,135575712
2019,122565726,31,1,,135575714
2019,120229763,10,,,132485343
2019,120229906,45,1290,,132498495
2019,120224634,29,1,,132485370
2019,120224642,3,400,,132485390
2019,120224674,38,1,,132485424
2019,120224675,63,100,,132485425
2019,120211350,42,800,,132498595
2019,120224679,63,250,,132485432
2019,121849126,63,25,,134595102
2019,121857042,61,50,,134602223
2019,121849136,25,75,,134595112
2019,121857058,20,1400,,134602236
2019,121857066,6,100,,134602246
2019,121857083,10,,,134602261
2019,121857085,37,500,,134602266
2019,121857100,54,300,,134602282
2019,121857109,29,100,,134602292
2019,121857135,3,5000,,134602322
2019,121841262,6,220,,134602341
2019,121857157,24,6000,,134602348
2019,121857179,63,35,,134602368
2019,121857187,20,1400,,134602377
2019,119071377,56,1,,131306726
2019,119071387,61,54,,131309007
2019,119071395,10,,,131314608
2019,119071395,11,10,,131314607
2019,119071430,61,380,,131306773
2019,119071430,25,200,,131306771
2019,119071430,7,1600,,131306768
2019,119071430,36,10,,131314633
2019,119071430,60,1,,131306772
2019,119071430,17,100,,131306769
2019,119075334,9,0,,131306780
2019,119075334,25,40,,131306782
2019,119075337,8,20,,131314647
2019,119075374,8,27,24-AUG-19,131306828
2019,119075373,8,27,,131306827
2019,119071479,10,,,131306846
2019,119075393,38,200,,131306850
2019,119071490,25,25,17-JUL-19,131309120
2019,119071491,25,25,,131309121
2019,119069313,60,330,,131306886
2019,119075424,42,50,,131306889
2019,119071525,29,100,,131309156
2019,119071540,63,189,19-JUL-19,131314753
2019,119069333,63,378,,131314754
2019,119071560,4,1681,,131314765
2019,119069347,22,0,28-AUG-19,131314767
