"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,4,121156033,9,9,13006402
2019,4,121160499,4,9,12995555
2019,12,121156207,27,1,12995575
2019,8,121145552,1,11,12995100
2019,5,121149295,1,3,13000927
2019,4,121160781,1,2,12995587
2019,16,121149451,22,1,13000955
2019,4,121156272,0.7,1,12995598
2019,13,121145551,1,11,13005278
2019,8,121145551,1,11,13005277
2019,4,121160612,4,9,13006414
2019,5,121160622,2.45,3,12995564
2019,2,121156119,1,1,13006418
2019,2,121156230,7.7,1,12995582
2019,2,121149432,0.4,1,13000950
2019,1,121841427,3.299,1,13153770
2019,1,121841472,0.15,1,13153777
2019,15,121841425,0.5,1,13153769
2019,4,121841473,1,11,13153778
2019,4,121149372,143,1,13000935
2019,4,121156235,0.64,1,13006438
2019,12,121149431,15,1,13000949
2019,13,121144460,1,11,12995133
2019,1,121150294,1,1,12995134
2019,5,121150294,1.745,3,13000152
2019,1,121145716,1,1,13000154
2019,7,121145716,1,11,13005288
2019,4,121841363,7,9,13153761
2019,5,122563548,1,11,13293809
2019,2,122563597,0.5,1,13293815
2019,1,121857482,1,11,13146264
2019,1,121857565,4.599,1,13146282
2019,15,121859690,51,9,13146281
2019,15,122563569,1,11,13293812
2019,4,122563569,1,11,13293811
2019,1,122563569,1,11,13293813
2019,4,121857507,1,11,13146277
2019,2,122537702,1.31,1,13292953
2019,1,122540731,5,9,13281893
2019,1,122537711,0.6,1,13292956
2019,4,122563386,8,9,13293792
2019,1,122563422,0.62,1,13293795
2019,4,122534255,0.64,1,13287991
2019,16,122537614,22,1,13292944
2019,4,122563462,1,1,13293803
2019,1,122563462,2.599,1,13293802
2019,1,122563485,1.8,1,13293806
2019,1,122563489,1,11,13293807
2019,4,122565676,1,11,13298515
2019,1,122537588,2,1,13292943
2019,4,122537588,0.44,1,13292942
2019,4,122563631,1,11,13293823
2019,18,122537697,,,13292952
2019,15,122537697,2,9,13292951
2019,4,122537697,121,9,13292950
2019,4,122537721,0.64,1,13292959
2019,2,122537759,1,1,13292977
2019,2,122537760,1.3,1,13292978
2019,2,122537763,2.6,1,13292979
2019,2,122540898,1,1,13292980
2019,2,122537766,4.6,1,13292983
2019,1,122537767,0.7,1,13292984
2019,2,122537768,4.8,1,13292985
2019,2,122537769,16,1,13292986
2019,1,122537770,0.6,1,13292987
2019,16,122537772,0.16,1,13292989
2019,4,122563640,1,11,13293826
2019,4,122534190,12,9,13287979
2019,4,122537646,8,1,13287986
2019,5,122537646,950,3,13287985
2019,2,122537695,1.33,1,13292949
2019,2,122540723,,,13281892
2019,8,122537560,8,9,13292941
2019,2,122537724,0.2,1,13292961
