"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8148559,20577,1,2019,"I",,"Y","G","C","2019_01_VTDMV0000_NIBRS",41494201,0
2019,8156221,20577,2,2019,"I",,"Y","G","C","2019_02_VTDMV0000_NIBRS",67212697,0
2019,8163883,20577,3,2019,"I",,"Y","G","C","2019_03_VTDMV0000_NIBRS",48044474,0
2019,8171545,20577,4,2019,"I",,"Y","G","C","2019_04_VTDMV0000_NIBRS",49605527,0
2019,8179207,20577,5,2019,"Z",,"Y","G","C","2019_05_VTDMV0000_NIBRS",62617483,0
2019,8186869,20577,6,2019,"I",,"Y","G","C","2019_06_VTDMV0000_NIBRS",49611615,0
2019,8194531,20577,7,2019,"I",,"Y","G","C","2019_07_VTDMV0000_NIBRS",56540050,0
2019,8202193,20577,8,2019,"I",,"Y","G","C","2019_08_VTDMV0000_NIBRS",50632382,0
2019,8209855,20577,9,2019,"I",,"Y","G","C","2019_09_VTDMV0000_NIBRS",58691470,0
2019,8217517,20577,10,2019,"I",,"Y","G","C","2019_10_VTDMV0000_NIBRS",64124503,0
2019,8225179,20577,11,2019,"Z",,"Y","G","C","2019_11_VTDMV0000_NIBRS",62610619,0
2019,8232841,20577,12,2019,"I",,"Y","G","C","2019_12_VTDMV0000_NIBRS",69827674,0
2019,8148570,20590,1,2019,"I",,"Y","G","C","2019_01_VTVSP1200_NIBRS",69832008,0
2019,8156232,20590,2,2019,"I",,"Y","G","C","2019_02_VTVSP1200_NIBRS",69837114,0
2019,8163894,20590,3,2019,"I",,"Y","G","C","2019_03_VTVSP1200_NIBRS",62514090,0
2019,8171556,20590,4,2019,"I",,"Y","G","C","2019_04_VTVSP1200_NIBRS",56547854,0
2019,8179218,20590,5,2019,"I",,"Y","G","C","2019_05_VTVSP1200_NIBRS",71657592,0
2019,8186880,20590,6,2019,"I",,"Y","G","C","2019_06_VTVSP1200_NIBRS",71657618,0
2019,8194542,20590,7,2019,"I",,"Y","G","C","2019_07_VTVSP1200_NIBRS",58694052,0
2019,8202204,20590,8,2019,"I",,"Y","G","C","2019_08_VTVSP1200_NIBRS",62508024,0
2019,8209866,20590,9,2019,"I",,"Y","G","C","2019_09_VTVSP1200_NIBRS",71653400,0
2019,8217528,20590,10,2019,"I",,"Y","G","C","2019_10_VTVSP1200_NIBRS",67205860,0
2019,8225190,20590,11,2019,"I",,"Y","G","C","2019_11_VTVSP1200_NIBRS",67211546,0
2019,8232852,20590,12,2019,"I",,"Y","G","C","2019_12_VTVSP1200_NIBRS",69837112,0
2019,8149573,26057,1,2019,"I",,"Y","G","C","2019_01_VTVSP1600_NIBRS",58694335,0
2019,8157235,26057,2,2019,"I",,"Y","G","C","2019_02_VTVSP1600_NIBRS",58694308,0
2019,8164897,26057,3,2019,"I",,"Y","G","C","2019_03_VTVSP1600_NIBRS",71653503,0
2019,8172559,26057,4,2019,"I",,"Y","G","C","2019_04_VTVSP1600_NIBRS",69837190,0
2019,8180221,26057,5,2019,"I",,"Y","G","C","2019_05_VTVSP1600_NIBRS",69832081,0
2019,8187883,26057,6,2019,"I",,"Y","G","C","2019_06_VTVSP1600_NIBRS",67212522,0
2019,8195545,26057,7,2019,"I",,"Y","G","C","2019_07_VTVSP1600_NIBRS",67205880,0
2019,8203207,26057,8,2019,"I",,"Y","G","C","2019_08_VTVSP1600_NIBRS",60987393,0
2019,8210869,26057,9,2019,"I",,"Y","G","C","2019_09_VTVSP1600_NIBRS",71653512,0
2019,8218531,26057,10,2019,"I",,"Y","G","C","2019_10_VTVSP1600_NIBRS",67211567,0
2019,8226193,26057,11,2019,"I",,"Y","G","C","2019_11_VTVSP1600_NIBRS",69837206,0
2019,8233855,26057,12,2019,"I",,"Y","G","C","2019_12_VTVSP1600_NIBRS",71653520,0
2019,8148523,20536,1,2019,"I",,"Y","G","C","2019_01_VT0090000_NIBRS",64128857,0
2019,8156185,20536,2,2019,"I",,"Y","G","C","2019_02_VT0090000_NIBRS",64128866,0
2019,8163847,20536,3,2019,"I",,"Y","G","C","2019_03_VT0090000_NIBRS",49607297,0
2019,8171509,20536,4,2019,"I",,"Y","G","C","2019_04_VT0090000_NIBRS",64133340,0
2019,8179171,20536,5,2019,"I",,"Y","G","C","2019_05_VT0090000_NIBRS",69833663,0
2019,8186833,20536,6,2019,"I",,"Y","G","C","2019_06_VT0090000_NIBRS",71657051,0
2019,8194495,20536,7,2019,"I",,"Y","G","C","2019_07_VT0090000_NIBRS",71657058,0
2019,8202157,20536,8,2019,"I",,"Y","G","C","2019_08_VT0090000_NIBRS",69833669,0
2019,8209819,20536,9,2019,"I",,"Y","G","C","2019_09_VT0090000_NIBRS",69839557,0
2019,8217481,20536,10,2019,"I",,"Y","G","C","2019_10_VT0090000_NIBRS",71657067,0
2019,8225143,20536,11,2019,"I",,"Y","G","C","2019_11_VT0090000_NIBRS",69827979,0
2019,8232805,20536,12,2019,"I",,"Y","G","C","2019_12_VT0090000_NIBRS",71657079,0
2019,8148567,20586,1,2019,"I",,"Y","G","C","2019_01_VTVSP0800_NIBRS",67211438,0
2019,8156229,20586,2,2019,"I",,"Y","G","C","2019_02_VTVSP0800_NIBRS",71653396,0
2019,8163891,20586,3,2019,"I",,"Y","G","C","2019_03_VTVSP0800_NIBRS",64075292,0
2019,8171553,20586,4,2019,"I",,"Y","G","C","2019_04_VTVSP0800_NIBRS",62508013,0
2019,8179215,20586,5,2019,"I",,"Y","G","C","2019_05_VTVSP0800_NIBRS",64088944,0
2019,8186877,20586,6,2019,"I",,"Y","G","C","2019_06_VTVSP0800_NIBRS",71657562,0
2019,8194539,20586,7,2019,"I",,"Y","G","C","2019_07_VTVSP0800_NIBRS",71657563,0
2019,8202201,20586,8,2019,"I",,"Y","G","C","2019_08_VTVSP0800_NIBRS",71653366,0
2019,8209863,20586,9,2019,"I",,"Y","G","C","2019_09_VTVSP0800_NIBRS",71653387,0
2019,8217525,20586,10,2019,"I",,"Y","G","C","2019_10_VTVSP0800_NIBRS",71653380,0
2019,8225187,20586,11,2019,"I",,"Y","G","C","2019_11_VTVSP0800_NIBRS",71657548,0
2019,8232849,20586,12,2019,"I",,"Y","G","C","2019_12_VTVSP0800_NIBRS",71657590,0
2019,8148568,20587,1,2019,"I",,"Y","G","C","2019_01_VTVSP0900_NIBRS",64089006,0
2019,8156230,20587,2,2019,"I",,"Y","G","C","2019_02_VTVSP0900_NIBRS",48084557,0
2019,8163892,20587,3,2019,"I",,"Y","G","C","2019_03_VTVSP0900_NIBRS",62514104,0
2019,8171554,20587,4,2019,"I",,"Y","G","C","2019_04_VTVSP0900_NIBRS",49612009,0
2019,8179216,20587,5,2019,"I",,"Y","G","C","2019_05_VTVSP0900_NIBRS",60987325,0
2019,8148536,20552,1,2019,"I",,"Y","G","C","2019_01_VT0120100_NIBRS",67206086,0
2019,8156198,20552,2,2019,"I",,"Y","G","C","2019_02_VT0120100_NIBRS",67216913,0
2019,8148502,20513,1,2019,"I",,"Y","G","C","2019_01_VT0040100_NIBRS",71652876,0
2019,8156164,20513,2,2019,"I",,"Y","G","C","2019_02_VT0040100_NIBRS",71652890,0
2019,8163826,20513,3,2019,"I",,"Y","G","C","2019_03_VT0040100_NIBRS",71657157,0
2019,8171488,20513,4,2019,"I",,"Y","G","C","2019_04_VT0040100_NIBRS",71652945,0
2019,8179150,20513,5,2019,"I",,"Y","G","C","2019_05_VT0040100_NIBRS",71657191,0
2019,8186812,20513,6,2019,"I",,"Y","G","C","2019_06_VT0040100_NIBRS",69837803,0
2019,8194474,20513,7,2019,"I",,"Y","G","C","2019_07_VT0040100_NIBRS",69832632,0
2019,8202136,20513,8,2019,"I",,"Y","G","C","2019_08_VT0040100_NIBRS",71652965,0
2019,8209798,20513,9,2019,"I",,"Y","G","C","2019_09_VT0040100_NIBRS",71652977,0
2019,8217460,20513,10,2019,"I",,"Y","G","C","2019_10_VT0040100_NIBRS",71652988,0
2019,8225122,20513,11,2019,"I",,"Y","G","C","2019_11_VT0040100_NIBRS",71653000,0
2019,8232784,20513,12,2019,"I",,"Y","G","C","2019_12_VT0040100_NIBRS",71653005,0
2019,8148503,20514,1,2019,"I",,"Y","G","C","2019_01_VT0040200_NIBRS",50638292,0
2019,8156165,20514,2,2019,"I",,"Y","G","C","2019_02_VT0040200_NIBRS",60984683,0
2019,8163827,20514,3,2019,"I",,"Y","G","C","2019_03_VT0040200_NIBRS",60970701,0
2019,8148563,20581,1,2019,"I",,"Y","G","C","2019_01_VTVSP0300_NIBRS",64075294,0
2019,8156225,20581,2,2019,"I",,"Y","G","C","2019_02_VTVSP0300_NIBRS",64088977,0
2019,8163887,20581,3,2019,"I",,"Y","G","C","2019_03_VTVSP0300_NIBRS",69837100,0
2019,8171549,20581,4,2019,"I",,"Y","G","C","2019_04_VTVSP0300_NIBRS",56544053,0
2019,8179211,20581,5,2019,"I",,"Y","G","C","2019_05_VTVSP0300_NIBRS",58693956,0
2019,8148565,20584,1,2019,"I",,"Y","G","C","2019_01_VTVSP0600_NIBRS",64088884,0
2019,8156227,20584,2,2019,"I",,"Y","G","C","2019_02_VTVSP0600_NIBRS",49611842,0
2019,8163889,20584,3,2019,"I",,"Y","G","C","2019_03_VTVSP0600_NIBRS",48091132,0
2019,8171551,20584,4,2019,"I",,"Y","G","C","2019_04_VTVSP0600_NIBRS",58680711,0
2019,8179213,20584,5,2019,"I",,"Y","G","C","2019_05_VTVSP0600_NIBRS",50644009,0
2019,8186875,20584,6,2019,"I",,"Y","G","C","2019_06_VTVSP0600_NIBRS",60984185,0
2019,8194537,20584,7,2019,"I",,"Y","G","C","2019_07_VTVSP0600_NIBRS",64075253,0
2019,8202199,20584,8,2019,"I",,"Y","G","C","2019_08_VTVSP0600_NIBRS",71657420,0
2019,8209861,20584,9,2019,"I",,"Y","G","C","2019_09_VTVSP0600_NIBRS",71653245,0
2019,8217523,20584,10,2019,"I",,"Y","G","C","2019_10_VTVSP0600_NIBRS",71653247,0
2019,8225185,20584,11,2019,"I",,"Y","G","C","2019_11_VTVSP0600_NIBRS",71653253,0
2019,8232847,20584,12,2019,"I",,"Y","G","C","2019_12_VTVSP0600_NIBRS",71653256,0
2019,8148566,20585,1,2019,"I",,"Y","G","C","2019_01_VTVSP0700_NIBRS",56547793,0
2019,8156228,20585,2,2019,"I",,"Y","G","C","2019_02_VTVSP0700_NIBRS",50644040,0
2019,8163890,20585,3,2019,"I",,"Y","G","C","2019_03_VTVSP0700_NIBRS",56547788,0
2019,8171552,20585,4,2019,"I",,"Y","G","C","2019_04_VTVSP0700_NIBRS",48744230,0
2019,8179214,20585,5,2019,"I",,"Y","G","C","2019_05_VTVSP0700_NIBRS",69836968,0
2019,8186876,20585,6,2019,"I",,"Y","G","C","2019_06_VTVSP0700_NIBRS",60984256,0
2019,8194538,20585,7,2019,"I",,"Y","G","C","2019_07_VTVSP0700_NIBRS",64088888,0
2019,8202200,20585,8,2019,"I",,"Y","G","C","2019_08_VTVSP0700_NIBRS",67205741,0
2019,8209862,20585,9,2019,"I",,"Y","G","C","2019_09_VTVSP0700_NIBRS",64075263,0
2019,8217524,20585,10,2019,"I",,"Y","G","C","2019_10_VTVSP0700_NIBRS",67211333,0
2019,8225186,20585,11,2019,"I",,"Y","G","C","2019_11_VTVSP0700_NIBRS",69837001,0
2019,8232848,20585,12,2019,"I",,"Y","G","C","2019_12_VTVSP0700_NIBRS",67205751,0
2019,8148531,20544,1,2019,"I",,"Y","G","C","2019_01_VT0110200_NIBRS",67211019,0
2019,8148569,20589,1,2019,"I",,"Y","G","C","2019_01_VTVSP1100_NIBRS",48740509,0
2019,8156231,20589,2,2019,"I",,"Y","G","C","2019_02_VTVSP1100_NIBRS",47756580,0
2019,8148550,20568,1,2019,"I",,"Y","G","C","2019_01_VT0140300_NIBRS",50632369,0
2019,8156212,20568,2,2019,"I",,"Y","G","C","2019_02_VT0140300_NIBRS",50632383,0
2019,8163874,20568,3,2019,"I",,"Y","G","C","2019_03_VT0140300_NIBRS",56548193,0
2019,8171536,20568,4,2019,"I",,"Y","G","C","2019_04_VT0140300_NIBRS",67212545,0
2019,8179198,20568,5,2019,"I",,"Y","G","C","2019_05_VT0140300_NIBRS",64075579,0
2019,8186860,20568,6,2019,"I",,"Y","G","C","2019_06_VT0140300_NIBRS",71657352,0
2019,8148549,20567,1,2019,"I",,"Y","G","C","2019_01_VT0140200_NIBRS",62481146,0
2019,8156211,20567,2,2019,"I",,"Y","G","C","2019_02_VT0140200_NIBRS",62481150,0
2019,8163873,20567,3,2019,"I",,"Y","G","C","2019_03_VT0140200_NIBRS",71652750,0
2019,8171535,20567,4,2019,"I",,"Y","G","C","2019_04_VT0140200_NIBRS",64129125,0
2019,8179197,20567,5,2019,"I",,"Y","G","C","2019_05_VT0140200_NIBRS",71652754,0
2019,8186859,20567,6,2019,"I",,"Y","G","C","2019_06_VT0140200_NIBRS",69839544,0
2019,8194521,20567,7,2019,"I",,"Y","G","C","2019_07_VT0140200_NIBRS",69833662,0
2019,8202183,20567,8,2019,"I",,"Y","G","C","2019_08_VT0140200_NIBRS",69827969,0
2019,8209845,20567,9,2019,"I",,"Y","G","C","2019_09_VT0140200_NIBRS",71652763,0
2019,8217507,20567,10,2019,"I",,"Y","G","C","2019_10_VT0140200_NIBRS",69827980,0
2019,8225169,20567,11,2019,"I",,"Y","G","C","2019_11_VT0140200_NIBRS",71652772,0
2019,8232831,20567,12,2019,"I",,"Y","G","C","2019_12_VT0140200_NIBRS",71652787,0
2019,8148537,20553,1,2019,"I",,"Y","G","C","2019_01_VT0120200_NIBRS",67212676,0
2019,8156199,20553,2,2019,"I",,"Y","G","C","2019_02_VT0120200_NIBRS",69827677,0
2019,8163861,20553,3,2019,"I",,"Y","G","C","2019_03_VT0120200_NIBRS",69827680,0
